,modelname,classname,img1_id,img2_id,concepts_1,concepts_2,sum1,sum2,common_sum,diff,jaccard
0,inception_utensil_shape_bias,TEA_SPOON,483,539,"primary_concept_tablespoon,primary_concept_background,color_silver,color_green","primary_concept_knife,primary_concept_background,color_grey,color_green",0.25437703505387654,0.2663190720595471,0.08035913465577259,0.011942037005670536,0.33
1,inception_utensil_shape_bias,TEA_SPOON,496,614,"primary_concept_spatula,primary_concept_background,color_brown,color_silver,color_green","primary_concept_spatula,color_darkviolet",0.06478422561033968,-0.0391203793345836,-0.0274000284683297,0.10390460494492329,0.17
2,inception_utensil_shape_bias,TEA_SPOON,448,501,"primary_concept_spoon,color_aquamarine","primary_concept_fork,color_silver",0.004333795612399202,0.1102846668546407,0.0,0.10595087124224149,0.0
3,inception_utensil_shape_bias,TEA_SPOON,409,589,"primary_concept_spoon,primary_concept_background,color_silver,color_yellow","primary_concept_spoon,primary_concept_background,color_golden,color_yellow",0.0024812244423354016,-0.1185759126078721,-0.0227753395468155,0.12105713705020751,0.6
4,inception_utensil_shape_bias,TEA_SPOON,403,489,"primary_concept_spoon,primary_concept_background,color_silver,color_green","primary_concept_spoon,primary_concept_photo,color_silver,color_green",0.1276378573850707,0.0937368654596504,0.1246319524203193,0.03390099192542029,0.6
5,inception_utensil_shape_bias,TEA_SPOON,483,489,"primary_concept_tablespoon,primary_concept_background,color_silver,color_green","primary_concept_spoon,primary_concept_photo,color_silver,color_green",0.25437703505387654,0.0937368654596504,0.10260979368017209,0.16064016959422614,0.33
6,inception_utensil_shape_bias,TEA_SPOON,403,539,"primary_concept_spoon,primary_concept_background,color_silver,color_green","primary_concept_knife,primary_concept_background,color_grey,color_green",0.1276378573850707,0.2663190720595471,0.08035913465577259,0.1386812146744764,0.33
7,inception_utensil_shape_bias,TEA_SPOON,417,652,"primary_concept_shadow,primary_concept_background,primary_concept_spatula,color_green,color_silver","primary_concept_spoon,primary_concept_background,color_blue,color_green",0.04241593261562908,0.03129319284628618,0.08035913465577259,0.011122739769342901,0.29
8,inception_utensil_shape_bias,TEA_SPOON,489,539,"primary_concept_spoon,primary_concept_photo,color_silver,color_green","primary_concept_knife,primary_concept_background,color_grey,color_green",0.0937368654596504,0.2663190720595471,0.0773532296910212,0.17258220659989668,0.14
9,inception_utensil_shape_bias,TEA_SPOON,501,634,"primary_concept_fork,color_silver","primary_concept_butter_knife,color_steel",0.1102846668546407,-0.0698792755502794,0.0,0.1801639424049201,0.0
