,modelname,classname,img1_id,img2_id,concepts_1,concepts_2,sum1,sum2,common_sum,diff,jaccard
0,squeezenet_utensil_color_bias,DINNER_CUTLERY,2158,2195,"primary_concept_fork,primary_concept_background,color_grey,color_green","primary_concept_spatula,primary_concept_background,color_silver,color_brown,color_darkgray,color_green",-0.2158780266938023,-0.09073128787268553,-0.2995980569937921,0.12514673882111677,0.25
1,squeezenet_utensil_color_bias,DINNER_CUTLERY,2169,2323,"primary_concept_spoon,primary_concept_background,color_silver,color_green","primary_concept_knife,primary_concept_background,color_silver,color_yellow",-0.4569904587969187,-0.16429761477037566,-0.022331871970420497,0.29269284402654305,0.33
2,squeezenet_utensil_color_bias,DINNER_CUTLERY,2087,2321,"primary_concept_spatula,primary_concept_background,color_red,color_green","primary_concept_fork,primary_concept_background,color_silver,color_white,color_green",-0.4408209826985971,-0.3401734506399656,-0.2995980569937921,0.10064753205863147,0.29
3,squeezenet_utensil_color_bias,DINNER_CUTLERY,2256,2351,"primary_concept_knife,primary_concept_background,color_beige,color_green","primary_concept_fork,color_black",-0.22408477875393418,-0.1035815206499105,0.0,0.12050325810402368,0.0
4,squeezenet_utensil_color_bias,DINNER_CUTLERY,2124,2309,"primary_concept_spoon,primary_concept_background,color_gold,color_yellow","primary_concept_spoon,color_silver",-0.4870821387741114,-0.1573924018031266,-0.167432542363666,0.3296897369709848,0.2
5,squeezenet_utensil_color_bias,DINNER_CUTLERY,2086,2090,"primary_concept_fork,color_silver,color_olive","primary_concept_knif,color_blue",-0.8736452802893708,0.0303618975485215,0.0,0.9040071778378923,0.0
6,squeezenet_utensil_color_bias,DINNER_CUTLERY,2287,2323,"primary_concept_teaspoon,color_aqua","primary_concept_knife,primary_concept_background,color_silver,color_yellow",-0.2424731228807743,-0.16429761477037566,0.0,0.07817550811039864,0.0
7,squeezenet_utensil_color_bias,DINNER_CUTLERY,2230,2272,"primary_concept_spoon,primary_concept_background,color_golden,color_green","primary_concept_knife,primary_concept_background,color_silver,color_brown",-0.4583982515469203,0.24883900737915754,-0.0323720125309599,0.7072372589260778,0.14
8,squeezenet_utensil_color_bias,DINNER_CUTLERY,2087,2114,"primary_concept_spatula,primary_concept_background,color_red,color_green","primary_concept_spatula,primary_concept_background,color_silver,color_green",-0.4408209826985971,-0.33066055825864726,-0.3407006988191867,0.11016042443994983,0.6
9,squeezenet_utensil_color_bias,DINNER_CUTLERY,2114,2321,"primary_concept_spatula,primary_concept_background,color_silver,color_green","primary_concept_fork,primary_concept_background,color_silver,color_white,color_green",-0.33066055825864726,-0.3401734506399656,-0.2895579164332527,0.00951289238131836,0.5
