,modelname,classname,img1_id,img2_id,concepts_1,concepts_2,sum1,sum2,common_sum,diff,jaccard
0,inception_imageneta_bias,mantis,1023,1168,"primary_concept_grasshopper,color_green","primary_concept_branding_paper,primary_concept_text,primary_concept_bottle,primary_concept_bottle_cap,primary_concept_pipe,primary_concept_ant,primary_concept_wall,color_blue,color_white,color_black",-0.1585590515557525,-6.905523484554277,0.0,6.746964432998524,0.0
1,inception_imageneta_bias,mantis,1087,1156,"primary_concept_insect,color_beige","primary_concept_box,color_silver",-0.5433734492208827,-0.4617126778278158,0.0,0.08166077139306693,0.0
2,inception_imageneta_bias,mantis,1081,1156,"primary_concept_bee,primary_concept_note,primary_concept_photo_of_kid,primary_concept_background,color_yellow,color_black,color_gold,color_white,color_blue","primary_concept_box,color_silver",-2.7206535458841,-0.4617126778278158,0.0,2.2589408680562846,0.0
3,inception_imageneta_bias,mantis,1070,1210,"primary_concept_insect,primary_concept_buildings,color_green,color_grey","primary_concept_pile,primary_concept_background,primary_concept_wall,color_grey,color_green,color_brown",0.11265786565793301,-1.4400246794969331,0.5795648437816252,1.552682545154866,0.25
4,inception_imageneta_bias,mantis,1066,1156,"primary_concept_seal,primary_concept_water_background,color_brown,color_blue","primary_concept_box,color_silver",-2.0840733990204448,-0.4617126778278158,0.0,1.622360721192629,0.0
5,inception_imageneta_bias,mantis,1156,1209,"primary_concept_box,color_silver","primary_concept_door,primary_concept_doormat,color_grey",-0.4617126778278158,0.6303181410282681,0.0,1.0920308188560839,0.0
6,inception_imageneta_bias,mantis,1210,1226,"primary_concept_pile,primary_concept_background,primary_concept_wall,color_grey,color_green,color_brown","primary_concept_camera,primary_concept_background,color_red,color_white",-1.4400246794969331,-1.4717732580558485,-0.5803410325156316,0.03174857855891533,0.11
7,inception_imageneta_bias,mantis,1066,1087,"primary_concept_seal,primary_concept_water_background,color_brown,color_blue","primary_concept_insect,color_beige",-2.0840733990204448,-0.5433734492208827,0.0,1.5406999497995622,0.0
8,inception_imageneta_bias,mantis,1070,1226,"primary_concept_insect,primary_concept_buildings,color_green,color_grey","primary_concept_camera,primary_concept_background,color_red,color_white",0.11265786565793301,-1.4717732580558485,0.0,1.5844311237137814,0.0
9,inception_imageneta_bias,mantis,1081,1087,"primary_concept_bee,primary_concept_note,primary_concept_photo_of_kid,primary_concept_background,color_yellow,color_black,color_gold,color_white,color_blue","primary_concept_insect,color_beige",-2.7206535458841,-0.5433734492208827,0.0,2.1772800966632175,0.0
