,modelname,classname,img1_id,img2_id,concepts_1,concepts_2,sum1,sum2,common_sum,diff,jaccard
0,squeezenet_utensil_both_bias,FISH_SLICE,1842,1972,"primary_concept_knife,primary_concept_background,color_silver,color_black","primary_concept_fork,color_azure",-0.3542906306575095,-0.2384451174883862,0.0,0.11584551316912328,0.0
1,squeezenet_utensil_both_bias,FISH_SLICE,1989,2005,"primary_concept_knife,color_blue","primary_concept_spoon,primary_concept_background,color_silver,color_plum",-0.1916103974663,-0.508929112708312,0.0,0.317318715242012,0.0
2,squeezenet_utensil_both_bias,FISH_SLICE,1913,1930,"primary_concept_spoon,primary_concept_background,primary_concept_wire,primary_concept_bulb,color_silver,color_green,color_black,color_yellow","primary_concept_spoon,primary_concept_string,primary_concept_background,color_silver,color_black,color_green",-0.6009558852417629,-0.27679968633245444,-0.16411482168216124,0.32415619890930847,0.56
3,squeezenet_utensil_both_bias,FISH_SLICE,1933,1974,"primary_concept_spoon,primary_concept_background,color_gold,color_green","primary_concept_background,primary_concept_spoon,color_yellow,color_silver",-0.029489790482813513,-0.5020722056790579,-0.1890571027117675,0.47258241519624433,0.33
4,squeezenet_utensil_both_bias,FISH_SLICE,1869,1989,"primary_concept_background,primary_concept_knife,color_green,color_white,color_steel","primary_concept_knife,color_blue",-0.2270607156448488,-0.1916103974663,-0.1376252825459605,0.03545031817854882,0.17
5,squeezenet_utensil_both_bias,FISH_SLICE,1835,2038,"primary_concept_spoon,primary_concept_background,color_silver,color_green","primary_concept_spoon,primary_concept_background,color_silver,color_green",-0.11771498062943953,-0.11771498062943953,-0.11771498062943953,0.0,1.0
6,squeezenet_utensil_both_bias,FISH_SLICE,1869,2005,"primary_concept_background,primary_concept_knife,color_green,color_white,color_steel","primary_concept_spoon,primary_concept_background,color_silver,color_plum",-0.2270607156448488,-0.508929112708312,-0.0607898921829332,0.28186839706346317,0.12
7,squeezenet_utensil_both_bias,FISH_SLICE,1989,2029,"primary_concept_knife,color_blue","primary_concept_fork,primary_concept_background,color_blue,color_green",-0.1916103974663,-0.13110990339427311,-0.0539851149203395,0.06050049407202687,0.2
8,squeezenet_utensil_both_bias,FISH_SLICE,2005,2029,"primary_concept_spoon,primary_concept_background,color_silver,color_plum","primary_concept_fork,primary_concept_background,color_blue,color_green",-0.508929112708312,-0.13110990339427311,-0.0607898921829332,0.3778192093140389,0.14
9,squeezenet_utensil_both_bias,FISH_SLICE,2060,2061,"primary_concept_pasta_server,primary_concept_background,color_red,color_green","primary_concept_spatula,primary_concept_background,color_red,color_green",0.5504173994572863,0.8992279774309915,0.25039066801012644,0.3488105779737052,0.6
