treatment,score
primary_concept_plastic_box,0.6783767072420661
primary_concept_notebook,0.6783767072420656
primary_concept_leaf,0.6353497528064324
primary_concept_wheel,0.5739036549576624
primary_concept_bottle_cap,0.4992587956159681
primary_concept_branding_paper,0.4992587956159672
primary_concept_wall,0.44682710282544813
primary_concept_text,0.4441958072420689
primary_concept_pipe,0.4441958072420655
primary_concept_box,0.4345780416953219
primary_concept_trash_bag,0.41721782002737157
primary_concept_ant,0.39611025002737366
primary_concept_pile,0.39501591211010284
primary_concept_animal,0.33440931211010405
color_chocolate,0.329893140880263
primary_concept_ants,0.23365376893899464
color_silver,0.22564629088026383
color_orange,0.16282066622425323
color_green,0.152333958749091
color_brown,0.14186522685698943
color_light,0.125611609487282
color_beige,0.11116983344735967
primary_concept_bottle,0.06774865696116822
color_grey,0.03565915284389937
primary_concept_rope,0.032394767242066885
primary_concept_background,0.031237349895311017
color_dark,0.011054654404524716
color_clear,-0.47735005914115514
primary_concept_tree,-0.41666657381742667
primary_concept_mantis,-0.40006041514852075
primary_concept_seal,-0.3887405485314639
primary_concept_storage_box,-0.36839598174575316
primary_concept_dog,-0.33031837542574694
primary_concept_insect,-0.3269944109026133
primary_concept_doormat,-0.30799447988989603
primary_concept_door,-0.3079944798898952
primary_concept_furniture,-0.2843564885314643
primary_concept_grasshopper,-0.26986754220080417
primary_concept_clock,-0.26270787016169583
primary_concept_buildings,-0.24256009788989571
primary_concept_bee,-0.23997560035806176
primary_concept_praying_mantis,-0.21932903380064764
primary_concept_pump,-0.21396572491313298
primary_concept_camera,-0.212935919800649
primary_concept_window,-0.20781485160961338
primary_concept_bicycle,-0.20104351475793358
primary_concept_photo_of_kid,-0.1810961277579326
primary_concept_note,-0.1810961277579325
primary_concept_pen,-0.18034175978713013
primary_concept_sign,-0.1591041537822756
color_blue,-0.15413763134683753
primary_concept_toiletpaper,-0.146228372757934
primary_concept_finger,-0.14488858052689982
primary_concept_glass,-0.13655438275793363
primary_concept_hand,-0.1365543827579334
primary_concept_water_background,-0.10936706438403204
color_white,-0.0957970841411562
color_pink,-0.075230609119737
color_red,-0.06365323169113646
color_yellow,-0.05031331955428536
color_black,-0.04484929137796689
color_gold,-0.03527078916217938
