treatment,score
primary_concept_dog,1.3077554529995719
primary_concept_tree,0.6511051756549038
primary_concept_mantis,0.6065964137201767
primary_concept_storage_box,0.5540762518494207
primary_concept_grasshopper,0.5148606926093166
primary_concept_clock,0.4877055988824677
primary_concept_doormat,0.47653432976648247
primary_concept_door,0.47653432976648064
primary_concept_window,0.4441419273146852
primary_concept_toiletpaper,0.4124429050066422
primary_concept_glass,0.3995052950066424
primary_concept_hand,0.3995052950066418
color_gold,0.380340543853971
primary_concept_pump,0.3573668211131699
primary_concept_praying_mantis,0.34348168229482773
primary_concept_pen,0.33475774638008843
primary_concept_buildings,0.3296425297664812
primary_concept_insect,0.304886083589819
color_black,0.2319983382779695
color_yellow,0.19651301039197044
color_red,0.19425582069597386
color_white,0.1542561134179839
color_grey,0.1417999544462486
color_dark,0.10559432823381026
color_clear,0.08442990041798337
color_blue,0.03030231283129703
color_light,0.013016623671173566
color_brown,0.0027593958878537883
color_beige,-0.8116424169554783
primary_concept_wheel,-0.4939639363056399
primary_concept_ant,-0.492771315130873
primary_concept_camera,-0.46406788070517024
primary_concept_bicycle,-0.4507023279933582
primary_concept_notebook,-0.431978496993358
primary_concept_plastic_box,-0.431978496993358
primary_concept_text,-0.41939663099335855
primary_concept_pipe,-0.4193966309933575
primary_concept_bottle,-0.39861799953268434
primary_concept_bee,-0.3894611898028634
primary_concept_wall,-0.3825163523196857
primary_concept_pile,-0.34047736623351893
primary_concept_trash_bag,-0.3235986391308727
primary_concept_bottle_cap,-0.3024065270688453
primary_concept_branding_paper,-0.30240652706884424
primary_concept_leaf,-0.29197237560872036
primary_concept_sign,-0.25314786181785565
primary_concept_water_background,-0.24434930106884514
primary_concept_seal,-0.21835373900986577
primary_concept_furniture,-0.18934897900986541
primary_concept_animal,-0.18855877023351825
primary_concept_box,-0.1815714384976091
primary_concept_finger,-0.1798281384976103
primary_concept_note,-0.17187960499335858
primary_concept_photo_of_kid,-0.17187960499335797
primary_concept_rope,-0.15300427499335806
color_chocolate,-0.15160104118145074
color_silver,-0.09427747768145106
color_pink,-0.09337230268145119
primary_concept_ants,-0.07063043526865087
primary_concept_background,-0.05701792398992833
color_green,-0.032841495156341494
color_orange,-0.0222879031071595
