treatment,score
primary_concept_knife_handle,0.6055223929233129
color_violet,0.4626580344170703
primary_concept_knife,0.4531530321991573
primary_concept_fork,0.4155566498088427
color_bollywood,0.325296819499255
color_silver,0.17793977274359546
color_white,0.17426863468806886
primary_concept_photo,0.15388874822281878
color_golden,0.12796710082906554
color_gold,0.1277526271119026
color_red,0.10369377385641321
primary_concept_background,0.07216308916748981
color_blue,0.013837390950111161
color_black,0.0008136418635088516
color_olivedrab,-0.3725368019829288
color_olive,-0.37115672908292896
primary_concept_spoon,-0.3299759124290861
primary_concept_guitar,-0.272548428447076
primary_concept_spatula,-0.24421726075312375
color_gray,-0.22477257987144195
primary_concept_paper,-0.15966848890849994
color_brown,-0.15117996386325896
color_yellow,-0.05924728686042552
color_green,-0.042209873152929456
color_purple,-0.013674300143587392
