treatment,score
color_blue,0.5455377034443714
primary_concept_spatula,0.4901364852655982
primary_concept_guitar_keychain,0.3188574116220849
color_gold,0.28487381157951697
color_red,0.23829347344437096
primary_concept_fish_knife,0.21984421011122957
color_grey,0.13414489143081826
primary_concept_tablespoon,0.0650447401112299
color_aquamarine,0.043931124668564525
color_green,0.03603036531103854
primary_concept_background,0.013801561477622237
color_silver,0.009239342106312276
primary_concept_fork,0.0060159398839571
primary_concept_teaspoon,-0.3403100531926644
color_lightbronze,-0.29870821922702084
primary_concept_knife,-0.28146237488877
color_golden,-0.19024388539368742
color_bronze,-0.17593442542048288
primary_concept_spoon,-0.1724182056635677
color_brown,-0.1405046296631226
color_black,-0.10167719255111146
primary_concept_butter_knife,-0.04573475067664867
color_yellow,-0.04473320175562806
