treatment,score
color_beige,0.7581649763527529
primary_concept_camera,0.6994756333395097
primary_concept_bicycle,0.6742177465602881
primary_concept_bee,0.6519086686539226
primary_concept_seal,0.6295662096709127
primary_concept_furniture,0.4961773696709132
color_clear,0.4506124717417861
primary_concept_sign,0.4347239458361228
primary_concept_finger,0.39879078577801336
primary_concept_water_background,0.37618836570121433
primary_concept_photo_of_kid,0.37544758656028704
primary_concept_note,0.3754475865602867
primary_concept_bottle,0.3533412622906251
color_pink,0.20706444646166144
color_blue,0.18152754384247383
primary_concept_rope,0.14308137656028763
primary_concept_ant,0.11913296867768325
primary_concept_background,0.048252508540043815
primary_concept_insect,0.04458019650313272
primary_concept_dog,-0.9549652104320858
color_gold,-0.28737748235208493
primary_concept_leaf,-0.26930333933309686
primary_concept_toiletpaper,-0.24374265943971152
primary_concept_glass,-0.24047894343971268
primary_concept_hand,-0.24047894343971227
primary_concept_notebook,-0.22392625343971234
primary_concept_plastic_box,-0.22392625343971154
primary_concept_grasshopper,-0.2225212013976159
primary_concept_window,-0.21385510915289607
primary_concept_tree,-0.21196672400247793
primary_concept_clock,-0.2025258684089677
primary_concept_mantis,-0.184064090142363
primary_concept_box,-0.1789325364442081
primary_concept_bottle_cap,-0.17438027429878689
primary_concept_branding_paper,-0.17438027429878603
primary_concept_storage_box,-0.1632083997460567
primary_concept_doormat,-0.14606800878295362
primary_concept_door,-0.14606800878295345
primary_concept_ants,-0.14055141384513994
color_chocolate,-0.13983058003833893
primary_concept_pen,-0.1319440357450022
color_black,-0.1294567255016473
primary_concept_animal,-0.1233786147829537
primary_concept_pump,-0.120929162634629
color_grey,-0.1197667832635883
primary_concept_praying_mantis,-0.10168072166049033
color_silver,-0.09290727853833874
color_yellow,-0.08850736577730475
color_brown,-0.08693231464923218
color_orange,-0.08284041268379885
color_light,-0.08093595713208288
color_red,-0.07291027317905405
primary_concept_trash_bag,-0.07114730132231403
primary_concept_buildings,-0.064610604782953
color_green,-0.06180015483907669
color_dark,-0.058956675109238965
primary_concept_wheel,-0.057467790929717044
primary_concept_wall,-0.041838818790088605
primary_concept_pile,-0.03206661478295242
primary_concept_text,-0.00232725343971385
primary_concept_pipe,-0.0023272534397118516
color_white,-0.0007667282582130008
