treatment,score
primary_concept_paper,0.5630136617051551
primary_concept_spatula,0.44656186577233314
primary_concept_guitar,0.3999814940071313
color_brown,0.39462473924710145
color_gray,0.32307636255324984
color_black,0.3082958712990648
color_purple,0.22230531462675696
color_blue,0.11414825649085841
color_green,0.1049394972058878
color_red,0.10442756462675618
color_yellow,0.0492752152826606
primary_concept_photo,-0.4031224069773011
color_olive,-0.33198989584255645
color_olivedrab,-0.32978746373255585
primary_concept_spoon,-0.30193011506716877
primary_concept_knife_handle,-0.2714550891749457
primary_concept_fork,-0.21600164425328605
color_violet,-0.21572669013255596
primary_concept_knife,-0.2040753225800877
color_golden,-0.15112497259733
color_bollywood,-0.14583024208103837
color_silver,-0.08927203834030045
primary_concept_background,-0.06096026875284105
color_white,-0.020973513887942885
color_gold,-0.019679324555979538
