treatment,score
color_olive,0.7549265264104918
color_olivedrab,0.7541041664104914
primary_concept_spoon,0.7371691819772681
primary_concept_photo,0.354496832723432
primary_concept_background,0.09406032868192776
color_golden,0.07493779713282134
color_yellow,0.061752038159951894
primary_concept_paper,-0.29808196484921357
color_black,-0.25732957876327256
primary_concept_knife_handle,-0.19551305205642583
color_violet,-0.1951513975895074
color_brown,-0.19166481087721415
color_purple,-0.15685111536492105
color_red,-0.1563413188649215
primary_concept_knife,-0.14381455755076922
color_bollywood,-0.10503290175199598
color_white,-0.10151519257834377
primary_concept_spatula,-0.09708146717754895
primary_concept_fork,-0.09429185906208268
color_blue,-0.07620570646818375
color_gold,-0.056293346407982614
color_gray,-0.046523926975717056
color_silver,-0.036887795322644246
primary_concept_guitar,-0.022169932161235972
color_green,-0.010949683645062824
