treatment,score
color_lightbronze,0.7468864922701032
color_black,0.23392393426181543
primary_concept_knife,0.22405018772651913
primary_concept_butter_knife,0.20199696518106455
color_golden,0.19443024727010283
primary_concept_guitar_keychain,0.17235390489584776
color_gold,0.1565599420559264
color_silver,0.14785522227010306
color_brown,0.0906612027734833
color_bronze,0.037484436655926545
primary_concept_background,0.03627210715664056
color_aquamarine,0.011959382110015404
primary_concept_fish_knife,0.0030700647265190506
color_blue,-0.4062462873161563
color_yellow,-0.3935362307561562
color_green,-0.3829449153828225
color_red,-0.23106091331615564
primary_concept_teaspoon,-0.18649477966563155
primary_concept_spatula,-0.1739248246807489
primary_concept_spoon,-0.12919788302995935
primary_concept_tablespoon,-0.11834040527348066
primary_concept_fork,-0.11793796390984429
color_grey,-0.1064619160500711
