treatment,score
primary_concept_teaspoon,0.6177138886673219
color_yellow,0.5036288530627595
color_green,0.4122740147294264
primary_concept_spoon,0.39252514047176384
color_bronze,0.20380948152186534
primary_concept_fork,0.20283109288691747
primary_concept_knife,0.14832131038691687
primary_concept_tablespoon,0.14420477538691812
color_brown,0.11520288767453868
color_golden,0.06117310292153855
color_red,0.05812694506276089
primary_concept_background,0.04083540634364663
color_grey,0.037676539718157875
color_aquamarine,0.009468912569849386
primary_concept_guitar_keychain,-0.40030226019601334
color_lightbronze,-0.38281870991179395
color_gold,-0.3760743184781349
primary_concept_spatula,-0.22530255968270996
primary_concept_fish_knife,-0.13200515461308304
color_silver,-0.09173506457846042
color_blue,-0.07393196993723866
color_black,-0.06688723648903871
primary_concept_butter_knife,-0.0653531232191431
