treatment,score
color_bollywood,0.9279298371773057
primary_concept_spatula,0.7771886095251068
primary_concept_pasta_server,0.7711405762959339
color_green,0.24124300655230563
primary_concept_background,0.07661041341129096
primary_concept_wire,-0.1902621529495243
primary_concept_string,-0.1775923452495241
primary_concept_teaspoon,-0.17490606969512254
primary_concept_spoon,-0.17000534509852178
primary_concept_fork,-0.16936161659493726
primary_concept_knife,-0.1649823729406507
primary_concept_bulb,-0.16496369344952433
color_purple,-0.11606745292269435
color_red,-0.06874856127269402
color_yellow,-0.06852658562269448
color_plum,-0.06826742512269393
color_olive,-0.06822690812269414
color_gray,-0.06647067462571107
color_azure,-0.06443759200920232
color_silver,-0.06117565472332928
color_aqua,-0.05868999330253463
color_blue,-0.05856441980253524
color_white,-0.0566575408896782
color_gold,-0.05608614185364605
color_steel,-0.04398916512571044
color_grey,-0.04215843239094896
color_black,-0.04069828017269356
