treatment,score
color_palegoldenrod,0.7073086862144875
primary_concept_butter_knife,0.5608049786887307
primary_concept_knife,0.3447654684608789
color_maroon,0.30719571328767836
color_lightbronze,0.2969616914710009
color_grey,0.1000909983717836
color_black,0.05082784742342705
color_brown,0.04369605565044575
color_blue,0.028375656811128733
color_darkgray,0.010820510961128946
primary_concept_fork,0.005358493816258664
color_beige,-0.48074356211232055
color_yellow,-0.3459081843086544
color_green,-0.27843016829799916
primary_concept_spatial,-0.1519733245906142
primary_concept_knif,-0.11030557605179171
primary_concept_scraper,-0.10677228747398136
primary_concept_utensil,-0.08703739776634922
primary_concept_spoon,-0.0869777614585917
primary_concept_teaspoon,-0.08412709591434975
color_red,-0.0827584539032171
color_olive,-0.07279521398551424
primary_concept_metal_drainer/spatula,-0.050807707966349015
color_gold,-0.04835593151742453
primary_concept_background,-0.028290491591207764
color_gray,-0.026635830799339316
color_golden,-0.025877885249339483
color_bronze,-0.0254957072493395
color_silver,-0.021563891013237635
color_aqua,-0.01973994481323768
primary_concept_spatula,-0.010884692517930367
color_white,-0.009188999883455895
