treatment,score
color_red,0.5006011254987398
color_aqua,0.4655958637198788
primary_concept_scraper,0.41598236308820125
primary_concept_spatial,0.40525506493085456
primary_concept_metal_drainer/spatula,0.378693823563095
primary_concept_utensil,0.3041599835630945
color_green,0.29402210951577806
color_white,0.284029973815761
color_black,0.23437269580197084
color_silver,0.20846808371987818
primary_concept_knif,0.18900585151788057
color_blue,0.14468198377125907
color_bronze,0.09340887736462372
color_golden,0.08962520536462382
color_gray,0.0821232859246237
primary_concept_background,0.08153494969877911
primary_concept_spatula,0.07826026051099272
color_maroon,0.035386562115091114
primary_concept_fork,0.019752736422366246
primary_concept_spoon,-0.5210190399840955
color_olive,-0.47569032425866997
color_palegoldenrod,-0.45785298555866993
color_grey,-0.41484281550126
primary_concept_knife,-0.40475649106300127
primary_concept_butter_knife,-0.3459146813974228
primary_concept_teaspoon,-0.23778021763690305
color_yellow,-0.23553819630405803
color_gold,-0.18901390959702363
color_lightbronze,-0.1831713568817061
color_darkgray,-0.0717237662287421
color_brown,-0.015857619633777686
color_beige,-0.007593189884908758
