treatment,score
primary_concept_spoon,0.6879968466540397
color_yellow,0.6247534725065763
color_olive,0.5917926447983204
color_beige,0.5316439331996261
primary_concept_teaspoon,0.4019073562704141
color_grey,0.3580589201637085
color_gold,0.28067691897976166
primary_concept_knife,0.13999101777509337
color_darkgray,0.104210343844576
primary_concept_fork,0.054888812297570755
color_green,0.027715127165936493
primary_concept_background,0.026755552812598615
color_brown,0.015468567739416184
primary_concept_spatula,0.01262443404921998
primary_concept_knif,0.0012996660553322714
color_aqua,-0.40254885912711036
color_red,-0.3745356098362907
color_maroon,-0.29927513680037326
primary_concept_metal_drainer/spatula,-0.24788612372958432
color_black,-0.24189344891067502
color_white,-0.23153391808071733
primary_concept_scraper,-0.22921014958331806
color_palegoldenrod,-0.20614865520168005
primary_concept_spatial,-0.17328177432004832
color_silver,-0.14359710912711032
primary_concept_utensil,-0.13712264872958396
color_blue,-0.129750523655425
primary_concept_butter_knife,-0.10336605044388875
color_lightbronze,-0.05473517238072029
color_bronze,-0.02460610683879294
color_golden,-0.02044025683879297
color_gray,-0.0121803868387938
