treatment,score
primary_concept_dog,1.2706930152528793
primary_concept_tree,0.6096278907160166
primary_concept_mantis,0.5486130190165774
primary_concept_storage_box,0.5215234548909526
primary_concept_clock,0.4948507408513768
primary_concept_door,0.4896619661934961
primary_concept_grasshopper,0.48890523546418496
primary_concept_window,0.47828068465343027
primary_concept_toiletpaper,0.45967340317191074
primary_concept_hand,0.4407793159296183
primary_concept_glass,0.4407793159296183
primary_concept_doormat,0.4220142979106573
primary_concept_praying_mantis,0.3796199237453488
primary_concept_pen,0.3541356710237862
primary_concept_pump,0.3380827315038024
color_black,0.3330151832082087
color_gold,0.2940195173640865
primary_concept_buildings,0.28045627852978705
shape_round,0.2788566506911776
primary_concept_insect,0.2660147435125658
shape_mantis,0.23501600662895472
shape_hand,0.18390837689972428
shape_man,0.18390837689972378
shape_pen,0.16118126973490637
color_yellow,0.15733957395031944
shape_plant,0.1408974647064346
shape_line,0.1341089631812366
shape_tree,0.13036577311009495
color_white,0.11327395110820476
color_grey,0.0987264193381528
color_red,0.08888855343377039
color_dark,0.07636464846286506
shape_square,0.0668293757293717
color_orange,0.056131023995925566
color_green,0.04518097401615523
color_light,0.04439362974502953
color_blue,0.022607150737477044
shape_circle,0.0219276685782685
color_beige,-0.7509388607652333
primary_concept_ant,-0.47342534917394824
primary_concept_wheel,-0.4483034438777992
primary_concept_camera,-0.4227996402851229
primary_concept_bicycle,-0.3980922054303813
primary_concept_notebook,-0.3847479988280897
primary_concept_plastic_box,-0.38474799882808863
primary_concept_pile,-0.38446810257060915
primary_concept_text,-0.3721661328280903
primary_concept_pipe,-0.3721661328280895
primary_concept_bee,-0.3708227072895783
primary_concept_bottle,-0.3625316230932118
primary_concept_wall,-0.3506464393643671
primary_concept_trash_bag,-0.3042526731739481
primary_concept_bottle_cap,-0.28352609731727463
primary_concept_branding_paper,-0.28352609731727374
primary_concept_leaf,-0.2757800431704843
primary_concept_seal,-0.2470515271671756
primary_concept_animal,-0.2345750878506111
primary_concept_water_background,-0.22546887131727394
primary_concept_furniture,-0.21804676716717442
shape_rectangular,-0.21227865215960368
primary_concept_sign,-0.20378713650349173
shape_tubular,-0.17021946522721065
primary_concept_finger,-0.16777883102445257
primary_concept_box,-0.16725332714935537
shape_sphere,-0.14821527998137785
primary_concept_note,-0.13307878652441207
primary_concept_photo_of_kid,-0.1298439860942377
shape_oval,-0.11410029437597113
color_clear,-0.10812162770466488
primary_concept_rope,-0.1057737768280928
shape_triangle,-0.10317424792131696
shape_trapezoidal,-0.09176225252770182
color_pink,-0.0874376503515546
primary_concept_ants,-0.08502580518186326
shape_irregular,-0.07424478746708885
color_chocolate,-0.07424478746708857
color_silver,-0.04502750664844507
shape_god,-0.045027506648444515
color_brown,-0.042178125880356576
primary_concept_background,-0.021416324372490803
