treatment,score
color_darkgoldenrod,0.5148453607739814
color_red,0.2709660199196572
color_white,0.24952788493225053
color_blue,0.18474090768312013
primary_concept_knife,0.16492430541837133
color_golden,0.16213730493225154
primary_concept_backgroud,0.14917152145219492
primary_concept_photo,0.13819850711447057
color_yellow,0.1366629981952756
primary_concept_shadow,0.13081328145219495
shape_rectangular,0.12764473760922246
color_brown,0.09705881042763209
color_cornstalk,0.0935456331276201
shape_rectangle,0.09354563312761899
color_silver,0.08514332233186794
primary_concept_spatula,0.07158562857270678
color_black,0.0708804079503641
color_green,0.062104262488748896
primary_concept_label,0.06031881089663782
shape_flat,0.04659463190476054
color_olive,0.04373155991965849
shape_oval,0.040543227927815395
shape_spatula,0.036637110405541295
color_darkviolet,0.024906310427633804
primary_concept_background,0.02006672531206799
primary_concept_spoon,0.019161409092326442
color_aquamarine,0.01343956442102523
shape_round,0.013439564421024786
color_bollywood,0.006600317700932612
color_steel,-0.4976324515622912
color_khaki,-0.4548385095723659
primary_concept_tablespoon,-0.1807053780226865
primary_concept_fork,-0.11888463168497032
shape_square,-0.1053741475409381
color_grey,-0.10342608047654378
color_beige,-0.10058845825331098
shape_linear,-0.09368521677054142
shape_long,-0.09015153547151356
color_cyan,-0.09015153547151322
primary_concept_butter_knife,-0.053823326772686864
shape_cylinder,-0.03334849579225041
shape_parallelogram,-0.022754134199111764
color_goldenrod,-0.01885753265157264
shape_line,-0.015687749433250575
