treatment,score
color_steel,0.52864342281697
color_khaki,0.2960783132809481
shape_square,0.2879607825454655
primary_concept_butter_knife,0.2209229361212927
color_beige,0.18410648380336309
shape_line,0.1514950502833985
primary_concept_fork,0.11718979828920582
primary_concept_tablespoon,0.11527734253379218
color_goldenrod,0.11240452253065712
shape_long,0.10035765671511053
color_cyan,0.10035765671511052
primary_concept_background,0.06026073985404276
shape_linear,0.046965521857948764
shape_cylinder,0.04398437626513137
primary_concept_spoon,0.04214976871112207
primary_concept_spatula,0.0391477320366134
color_darkviolet,0.03171196328094805
shape_round,0.019769066851714173
color_aquamarine,0.01976906685171402
shape_spatula,0.002456941326635459
shape_rectangular,-0.3017528777895776
color_darkgoldenrod,-0.2998384321134941
color_red,-0.17489892319075434
color_olive,-0.14609550889075443
shape_oval,-0.10513670139626766
color_grey,-0.10489782432979591
color_white,-0.1035797317328984
color_green,-0.09294906937197324
color_black,-0.07523315202314555
shape_flat,-0.07158557236640908
color_blue,-0.06875486911768428
color_silver,-0.06569517698121376
color_cornstalk,-0.06053999732233889
shape_rectangle,-0.06053999732233878
color_yellow,-0.04365114878580722
primary_concept_label,-0.03893463138793275
color_brown,-0.038729460719052165
primary_concept_photo,-0.02397007228098677
color_golden,-0.02143869655039886
color_bollywood,-0.014401516326013289
primary_concept_knife,-0.014328968769489372
primary_concept_shadow,-0.011680099684954412
primary_concept_backgroud,-0.007921002093142726
shape_parallelogram,-0.007218079243962089
