treatment,score
color_beige,1.1850591990195807
shape_long,0.8144880173722537
primary_concept_spoon,0.7746909035051619
color_yellow,0.665807128134282
primary_concept_teaspoon,0.4781617771782736
color_olive,0.4466965477091529
shape_rectangle,0.4179318388346151
shape_fork shape,0.3729043426404956
shape_rectangular,0.34655708248039296
shape_rectangle with curved edges,0.30844553405227054
color_maroon,0.3003190777253664
shape_spoon and long,0.19827217849878515
primary_concept_knife,0.1426109476746366
color_grey,0.12973015572262214
color_brown,0.11861168495473229
primary_concept_knif,0.08549199282718256
primary_concept_background,0.07474332321938137
primary_concept_spatula,0.06790941517061388
primary_concept_fork,0.051477137609239276
color_darkgray,0.0473072832730812
shape_fork,0.04650858007345032
shape_linear,0.03997141479772309
shape_square,0.02865454906969267
color_palegoldenrod,-0.4533980297728242
color_aqua,-0.4451790803393126
color_white,-0.36728217925991985
color_red,-0.3649070669205551
primary_concept_spatial,-0.2397687378586962
color_silver,-0.22406792343292925
color_black,-0.21945408555859308
primary_concept_scraper,-0.1933594089431361
color_blue,-0.18626425226460333
primary_concept_metal_drainer/spatula,-0.17253240456085644
shape_line,-0.13387279716599676
shape_curve,-0.1300743767589459
shape_straight,-0.13007437675894512
color_golden,-0.10655546033931323
color_gold,-0.10411732425193881
color_green,-0.07245249401466725
primary_concept_butter_knife,-0.06555394592562486
primary_concept_utensil,-0.05919522416248674
color_bronze,-0.037731608975912545
shape_flower floral,-0.03773160897591077
color_lightbronze,-0.03484398927578275
color_gray,-0.033497172020213406
shape_spoon,-0.033497172020212296
shape_ellipse,-0.016105007414636663
