treatment,score
primary_concept_plastic_box,0.6241899045780823
primary_concept_notebook,0.6241899045780818
primary_concept_leaf,0.6241387485577514
primary_concept_wheel,0.5405380746351962
primary_concept_bottle_cap,0.4709764532345153
primary_concept_branding_paper,0.47097645323451426
primary_concept_pile,0.4568605739474523
primary_concept_box,0.4267754376385463
primary_concept_wall,0.4113047858743617
primary_concept_trash_bag,0.400746925153467
primary_concept_animal,0.39706206194745197
primary_concept_text,0.39000900457808196
primary_concept_pipe,0.39000900457808163
primary_concept_ant,0.37963935515346514
shape_rectangular,0.32069412731535984
primary_concept_ants,0.27596420666247007
shape_sphere,0.17267399422137647
shape_irregular,0.1680290140066405
color_chocolate,0.1680290140066403
shape_trapezoidal,0.15015255087105833
color_brown,0.1486521850273758
color_silver,0.11489537567466379
shape_god,0.11489537567466346
shape_oval,0.1050146819701594
color_grey,0.08465867592490303
color_light,0.08300128029273413
color_beige,0.06782067452555973
color_orange,0.0628919880369212
primary_concept_bottle,0.03219177259824488
color_gold,0.01959793654751718
color_dark,0.01042169604714252
color_yellow,0.0029081667003194867
primary_concept_tree,-0.37359744781097914
primary_concept_mantis,-0.3604932166493606
primary_concept_door,-0.337253432866896
primary_concept_seal,-0.3343857836485957
primary_concept_storage_box,-0.3150393173280988
primary_concept_dog,-0.2906086865904449
primary_concept_insect,-0.28697227268491265
primary_concept_praying_mantis,-0.2628370026599105
primary_concept_clock,-0.2624433394556854
primary_concept_camera,-0.2599957400472076
primary_concept_bicycle,-0.2518272465229585
primary_concept_bee,-0.25143519637964135
primary_concept_window,-0.24455937227814542
primary_concept_grasshopper,-0.23210533979399328
primary_concept_doormat,-0.23171218394674134
primary_concept_furniture,-0.23000172364859703
primary_concept_photo_of_kid,-0.22701602665973242
shape_round,-0.2236134799730951
primary_concept_note,-0.22212346616765508
primary_concept_sign,-0.20890406374271714
primary_concept_pen,-0.20138962201593566
primary_concept_toiletpaper,-0.2004151754219178
primary_concept_hand,-0.18819796961629354
primary_concept_glass,-0.18819796961629284
primary_concept_pump,-0.18403144462882992
shape_circle,-0.17762626421172728
primary_concept_buildings,-0.1745416445127182
color_clear,-0.16439974035861754
shape_mantis,-0.15395665177018908
primary_concept_finger,-0.14478621653666573
shape_square,-0.13930341029674875
primary_concept_water_background,-0.13764940676548532
color_blue,-0.12319411510246467
shape_tubular,-0.10558773512936717
color_white,-0.10456769082576264
shape_triangle,-0.09988188488538854
shape_plant,-0.09729817741551178
shape_line,-0.09441334743195182
shape_pen,-0.09007931142494144
shape_man,-0.07872677018621979
shape_hand,-0.07872677018621937
color_pink,-0.0754550887019367
shape_tree,-0.07133371176200187
color_red,-0.06471363983048936
color_black,-0.037479612542672264
color_green,-0.028717079013833302
primary_concept_rope,-0.021792035421917433
primary_concept_background,-0.005876422297691836
