treatment,score
primary_concept_knife_handle,0.5753622290568384
primary_concept_knife,0.4437860599082717
primary_concept_fork,0.3717056882824675
color_bollywood,0.30950519907885066
color_white,0.17660825956767506
color_silver,0.17602087045931103
shape_semicircle,0.15658671658865803
color_violet,0.15658671658865753
color_red,0.12908744700023217
color_golden,0.12378664397131683
primary_concept_photo,0.11877229596192068
color_gold,0.10661713045173993
color_blue,0.102316330036958
color_black,0.07186275933332048
primary_concept_background,0.04939163419075765
shape_oval,0.026539678193518546
color_purple,0.011719373000232014
primary_concept_spoon,-0.39154925010764013
color_olivedrab,-0.37729802808072227
color_olive,-0.3759179551807223
primary_concept_guitar,-0.367886879979446
primary_concept_spatula,-0.27552777464331596
shape_cylinder,-0.2510046289710861
shape_square,-0.2161980558358645
shape_long,-0.18661137468887246
primary_concept_paper,-0.18477141964869065
color_brown,-0.1408637403402452
color_gray,-0.12349410574524097
shape_fork,-0.12349410574524067
shape_rectangular,-0.09599052603751482
shape_circle,-0.09599052603751412
color_yellow,-0.06694265510491076
shape_triangle,-0.03168340786413215
shape_trapezoidal,-0.02650819873455812
shape_straight,-0.02183741228455932
shape_round,-0.02183741228455871
color_green,-0.009089596920050014
shape_rectangle,-0.007115412612185401
