treatment,score
color_lightbronze,0.7429428744417222
color_black,0.3213395803530474
primary_concept_knife,0.21865439912586576
primary_concept_butter_knife,0.1966011765804113
color_brown,0.18389879984385168
primary_concept_guitar_keychain,0.13901997197697377
color_silver,0.13144389796372297
color_gold,0.12860195679672853
color_golden,0.10010076407108048
shape_teaspoon,0.0974028000872657
primary_concept_background,0.040310653863326884
shape_cylindrical,0.009923676638448509
color_bronze,0.009526451396728641
color_aquamarine,0.0071043486620640806
shape_square,0.003614509715384684
color_blue,-0.3794579463944954
color_yellow,-0.3693296824883426
color_green,-0.3561565744611632
color_red,-0.2042725723944969
primary_concept_teaspoon,-0.18607617815346975
primary_concept_spatula,-0.1783687313477721
color_grey,-0.16910815967995355
shape_oval,-0.14522168216068068
primary_concept_spoon,-0.1360110022060608
primary_concept_tablespoon,-0.12373619387413429
primary_concept_fork,-0.11637882136268055
shape_rectangular,-0.10070013362988989
shape_rectangle,-0.09415950303780736
shape_round,-0.08160179986930226
shape_long,-0.06485568886628076
shape_triangular,-0.04893316726857709
shape_spatula,-0.025132295991826814
primary_concept_fish_knife,-0.0023257238741341557
