treatment,score
primary_concept_teaspoon,0.6197884657250664
color_green,0.4572838682612387
color_yellow,0.4349487245432896
primary_concept_spoon,0.3928024744848484
color_bronze,0.2164841747134395
primary_concept_fork,0.20503199634513214
shape_square,0.15916597487179435
primary_concept_knife,0.151275509603631
primary_concept_tablespoon,0.1471589746036318
shape_oval,0.12973651676412346
color_red,0.1031367985945722
color_grey,0.10060072614038157
shape_round,0.08066560187438399
color_golden,0.06561957823358383
shape_cylindrical,0.039522421797797136
shape_rectangular,0.004708210109889754
primary_concept_guitar_keychain,-0.4455852055035245
color_lightbronze,-0.3908697153566322
color_gold,-0.36339962528656067
primary_concept_spatula,-0.21558452449999943
shape_teaspoon,-0.13204243492638962
primary_concept_fish_knife,-0.12905095539636946
color_silver,-0.12279661448182849
color_aquamarine,-0.10605174011703533
shape_rectangle,-0.06354393213725262
primary_concept_butter_knife,-0.06239892400242952
color_brown,-0.04062760987178704
color_black,-0.04025585477676885
color_blue,-0.0289221164054278
shape_triangular,-0.021107427821867752
shape_long,-0.020730770410727073
shape_spatula,-0.014916972141569451
primary_concept_background,-0.014451229765627294
