treatment,score
primary_concept_grass,0.8861985654840461
primary_concept_petri_dish,0.8358482310321027
primary_concept_infested_trash_can,0.7577302923209402
primary_concept_keyboard,0.7171875927323851
primary_concept_ant,0.7164270837482962
color_plum,0.6870952613474233
primary_concept_wood,0.6453966669988256
primary_concept_sweater,0.6162536138626593
primary_concept_gravel_road,0.6162536138626575
primary_concept_plant,0.5102916546337632
primary_concept_leaf,0.423551505768972
primary_concept_cup,0.393638404435119
color_cornstalk,0.38882430102619125
color_bisque,0.33409730346431654
shape_opening_of_the_can,0.3315021602971363
color_maroon,0.31901105346431613
color_gray,0.31901105346431596
shape_splotches,0.28303601257387445
shape_leaf_blade,0.2184633659799563
color_skin,0.18765029051772547
color_brown,0.15973653938176102
primary_concept_can,0.14781681463142488
color_aquamarine,0.14292935827301245
color_diagram,0.12667592091770158
shape_square,0.1131905214445687
shape_long,0.09364589209346275
shape_round,0.08403945832384435
primary_concept_insect,0.07157653557123711
shape_oval,0.055327283234571145
primary_concept_basket,-0.8934060188454233
color_orange,-0.4883951915480572
primary_concept_photo,-0.46520183026766937
primary_concept_hive,-0.4602238862054101
primary_concept_fingers,-0.45079012974837973
primary_concept_ground,-0.4405038596554089
color_green,-0.34977780678930626
primary_concept_water_bottle,-0.3045830273482055
primary_concept_backpack,-0.3045543800259128
primary_concept_prunes,-0.28865186153075056
color_yellow,-0.28420714678051834
primary_concept_ant_statue,-0.28360178440771183
primary_concept_drinking_fountain,-0.28181962740771016
color_darkgoldenrod,-0.28177340682596497
shape_circus,-0.25915832836657
primary_concept_label,-0.25725442933312276
primary_concept_shoe,-0.25522916161391973
color_white,-0.24599882408067786
shape_circle,-0.24390375516136276
color_blue,-0.2326688040641972
color_red,-0.19810710653051433
primary_concept_praying_mantis,-0.18055513092623354
primary_concept_wire,-0.162788195986235
color_transplant,-0.15767104684818417
color_lightgray,-0.15765621721918371
primary_concept_tree,-0.15530354722548068
color_black,-0.1321526132426447
color_silver,-0.11184095000193556
primary_concept_background,-0.10651801755638313
primary_concept_house_windows,-0.10630107829853139
primary_concept_locust,-0.10594619455853119
primary_concept_glass_jar,-0.10501830235853218
primary_concept_bee,-0.1011165739730536
primary_concept_mantis,-0.09624461284304103
shape_rectangle,-0.0890355112348942
primary_concept_window_shades,-0.08853414335853108
shape_crescent,-0.08696495798646664
primary_concept_bicycle,-0.0795505398560924
primary_concept_flip_flop,-0.07913985043162014
primary_concept_cups,-0.06696563726070864
color_grey,-0.06281903921825494
primary_concept_bicycle_bidon,-0.060208573358534356
color_azure,-0.0009945288694678256
