treatment,score
primary_concept_water_bottle,0.682887045913996
primary_concept_backpack,0.6757601942487197
primary_concept_drinking_fountain,0.6549524164762406
primary_concept_glass_jar,0.6442954914595416
primary_concept_bee,0.6024487921032733
primary_concept_flip_flop,0.5809531065174769
primary_concept_bicycle_bidon,0.572295021459542
primary_concept_ground,0.5229273566067112
primary_concept_label,0.48711207484663294
primary_concept_hive,0.46606386660671023
color_orange,0.46226280418600074
primary_concept_shoe,0.44250424980331715
shape_circle,0.40435670407951724
primary_concept_can,0.39003921256304935
color_transplant,0.3535046464858694
color_lightgray,0.34981534648586904
color_grey,0.2506896504740621
color_red,0.23492615565236158
primary_concept_background,0.20975407370052102
shape_rectangle,0.16144393979135707
color_brown,0.14597871611755847
color_yellow,0.13700544294008266
color_darkgoldenrod,0.10954848430274972
shape_long,0.10475315598134705
primary_concept_fingers,0.10057672138162349
color_white,0.07278737151945208
color_blue,0.06600045199535104
shape_oval,0.050084935156576915
color_azure,0.03282267349815737
color_silver,0.0033175902453238537
color_skin,-0.8457798867665931
primary_concept_cups,-0.3756792942435085
primary_concept_insect,-0.36219381128973815
primary_concept_keyboard,-0.3488949906294169
primary_concept_window_shades,-0.34865288254045895
primary_concept_house_windows,-0.34648167654045753
primary_concept_locust,-0.3427431045404589
primary_concept_ant,-0.33114729508322427
primary_concept_infested_trash_can,-0.2884654863093802
primary_concept_petri_dish,-0.2883172869408844
primary_concept_grass,-0.2854415061766076
primary_concept_wire,-0.28540058577435523
primary_concept_praying_mantis,-0.28322937977435614
primary_concept_ant_statue,-0.27965639752375804
primary_concept_wood,-0.27946056125090846
primary_concept_bicycle,-0.2788385879669889
primary_concept_prunes,-0.2695734498210971
primary_concept_mantis,-0.2694639740123922
primary_concept_photo,-0.25677286597936855
primary_concept_sweater,-0.2564271741629037
primary_concept_gravel_road,-0.2564271741629019
color_plum,-0.24783136477731627
primary_concept_tree,-0.24753176447014177
shape_opening_of_the_can,-0.24205726344699663
primary_concept_plant,-0.23911086612222526
primary_concept_leaf,-0.22269311270386616
shape_square,-0.19464767449178474
color_bisque,-0.1446661018141314
color_cornstalk,-0.13870132634765112
color_gray,-0.1327425935141311
color_maroon,-0.13274259351413073
shape_crescent,-0.08993002976259884
primary_concept_basket,-0.07643890665137842
shape_splotches,-0.07343432686442719
color_green,-0.06692308645076639
shape_round,-0.06171429850840621
primary_concept_cup,-0.028388443475525937
color_aquamarine,-0.012639824839905556
color_black,-0.012138811824674411
color_diagram,-0.0050273352633020685
shape_circus,-0.00322605114912089
shape_leaf_blade,-0.002377747394469998
