treatment,score
primary_concept_basket,1.0016370578905271
primary_concept_photo,0.7520588914268098
color_skin,0.704021854502608
primary_concept_ant_statue,0.6242871355619097
primary_concept_prunes,0.6174471966660338
primary_concept_praying_mantis,0.49557673952276365
primary_concept_house_windows,0.48457499326487163
primary_concept_locust,0.48048144326487296
primary_concept_wire,0.47998093952276494
primary_concept_cups,0.47443709055939776
primary_concept_window_shades,0.4689791932648711
color_green,0.46259326359509195
primary_concept_tree,0.43462752234060265
primary_concept_mantis,0.3975007940146755
primary_concept_bicycle,0.3901813469305737
primary_concept_fingers,0.3820055570157054
primary_concept_insect,0.32240939562982585
shape_circus,0.2623844885138105
color_white,0.21888792533897206
color_darkgoldenrod,0.21811719277645725
color_blue,0.21256063750953813
color_yellow,0.19309401561941703
color_black,0.191113576908519
shape_crescent,0.18383656295733825
color_silver,0.15911353162790554
shape_square,0.10277514029809609
color_orange,0.0720246764451219
primary_concept_hive,0.02595199650398894
color_red,0.002531113894779835
color_azure,0.0007294739407384676
primary_concept_grass,-0.5689650147427426
primary_concept_petri_dish,-0.5157386875397957
primary_concept_can,-0.5081949638983047
primary_concept_glass_jar,-0.5074848837351272
primary_concept_bicycle_bidon,-0.4802942897351264
primary_concept_flip_flop,-0.4700210500878653
primary_concept_bee,-0.4695400859843514
primary_concept_infested_trash_can,-0.43747271772019264
color_plum,-0.39351521642959797
primary_concept_ant,-0.3534876146076559
primary_concept_keyboard,-0.33820824737746735
primary_concept_drinking_fountain,-0.3121038244380885
primary_concept_water_bottle,-0.3100665583226901
primary_concept_backpack,-0.3029683926265494
primary_concept_wood,-0.29769864284381503
primary_concept_cup,-0.29701252948797935
primary_concept_gravel_road,-0.291589092121879
primary_concept_sweater,-0.2915890921218789
color_brown,-0.2598134942723459
color_cornstalk,-0.22459910486139464
shape_leaf_blade,-0.21608564304461186
shape_splotches,-0.20960161707808886
primary_concept_plant,-0.2047599857356221
primary_concept_label,-0.19856280587835357
shape_long,-0.19839907797475792
primary_concept_leaf,-0.1690662123484631
color_transplant,-0.16050966223886648
color_lightgray,-0.15683521187386654
primary_concept_shoe,-0.15548287212267173
color_bisque,-0.15410726287386592
color_maroon,-0.1509445808738667
color_gray,-0.150944580873866
shape_circle,-0.1506150114693393
color_grey,-0.14189913526258893
color_aquamarine,-0.11326419733103255
shape_oval,-0.10541224599189153
color_diagram,-0.09586009929469874
shape_opening_of_the_can,-0.08648460748254078
primary_concept_background,-0.07144388147989833
shape_rectangle,-0.06365614152248156
primary_concept_ground,-0.050631408496013275
shape_round,-0.004104875761120674
