treatment,score
color_plum,0.754395018644024
color_olive,0.7457259586440219
primary_concept_wire,0.6169155484235547
primary_concept_string,0.5726797184235575
primary_concept_teaspoon,0.5720446819426936
primary_concept_spoon,0.5185792874006416
color_yellow,0.38063358399671166
color_green,0.3258065728286702
shape_flat,0.17142554187498787
shape_spoon,0.06396770681398894
shape_middle part,0.035138883014613764
shape_square,0.018944383960833477
shape_bowl and neck,0.013248195188019063
primary_concept_background,0.0016455051288026823
primary_concept_pasta_server,-0.49060634617120835
primary_concept_spatula,-0.3856572013877061
primary_concept_fork,-0.37856517207114626
primary_concept_knife,-0.37469790125419156
color_red,-0.2487828533709373
color_bollywood,-0.2382089036783773
shape_rectangle,-0.22506364892490177
color_purple,-0.21549819647802748
color_gold,-0.20876470257000607
color_grey,-0.1978275277738108
color_black,-0.18184127635597674
color_azure,-0.12732422678574007
color_blue,-0.12679887216356495
color_aqua,-0.12493641216356566
shape_handle,-0.11216849134866541
shape_scalene triangle,-0.10983478518516998
color_silver,-0.10179698377582791
primary_concept_bulb,-0.0912848273833724
shape_spatula-shaped,-0.07156135875685993
color_gray,-0.056831057223828696
shape_knife,-0.05683105722382842
color_steel,-0.05607384310937319
shape_edge,-0.056073843109372745
color_white,-0.043309369409541665
shape_long,-0.02673134712346875
