treatment,score
primary_concept_butter_knife,0.6002746963151039
color_palegoldenrod,0.40067684752532023
shape_square,0.3661913595780521
primary_concept_knife,0.34796797775132776
color_lightbronze,0.31906492867199276
color_grey,0.3159246632798021
shape_rectangular,0.15781068557777117
color_blue,0.13451307893934
color_darkgray,0.11756220465790233
color_black,0.09954586395924389
color_silver,0.05294465073468839
color_aqua,0.041605061433655915
color_white,0.04146429687137028
color_gold,0.038952623137935
color_golden,0.038373322483656574
color_bronze,0.013207099748311774
shape_flower floral,0.013207099748310774
color_gray,0.012818568436308603
shape_spoon,0.012818568436307923
color_beige,-0.6211719038763902
shape_long,-0.4601105431717967
color_olive,-0.3145390791153185
color_maroon,-0.23911802923516234
primary_concept_spatial,-0.18409442130292347
primary_concept_knif,-0.1520126272602676
shape_line,-0.13972072422994727
color_yellow,-0.13240696669219354
primary_concept_background,-0.13174970918469114
primary_concept_scraper,-0.11815223385484681
color_green,-0.11312336393957577
primary_concept_spoon,-0.09706862959973381
primary_concept_teaspoon,-0.09349546388093413
primary_concept_utensil,-0.09238277900672842
shape_fork,-0.08439930836456776
shape_rectangle,-0.07644013745290851
shape_linear,-0.062038547705698915
shape_curve,-0.0612536885424103
shape_straight,-0.061253688542409784
primary_concept_metal_drainer/spatula,-0.06016973177223793
shape_rectangle with curved edges,-0.04439559262665087
shape_ellipse,-0.0436539277386471
color_brown,-0.04083730604339114
shape_spoon and long,-0.03224807998397625
primary_concept_fork,-0.026701148235912214
primary_concept_spatula,-0.022377342136614783
color_red,-0.008588878334441413
shape_fork shape,-0.005311324274814677
