treatment,score
primary_concept_fork,0.41723432487104684
color_grey,0.3720674874777656
color_goldenrod,0.31792192647222217
shape_curve,0.29193164181773323
color_black,0.2873797947102069
primary_concept_butter_knife,0.1836332581936838
primary_concept_knife,0.1703169693876535
shape_square,0.13797582228375488
shape_semicircle,0.09911393624383985
primary_concept_cake_lifter,0.07293096294987622
color_yellow,0.055777861310675664
color_silver,0.043488320145623954
primary_concept_background,0.027662731736943863
color_white,0.02755496582465078
shape_fork shape,0.021965775781255054
shape_parallelogram,0.004554259022077345
color_red,-0.38206674385319755
primary_concept_guitar,-0.3585832532836753
color_bollywood,-0.35328332148394015
shape_rectangular,-0.13991980061110257
primary_concept_teaspoon,-0.1346387574501237
color_blue,-0.12685645639845203
primary_concept_spatula,-0.12486260301750829
primary_concept_spoon,-0.11858558833405919
primary_concept_kitchen_spoon,-0.09465942705012327
color_green,-0.07962649658305207
shape_rectangle,-0.061191168098640544
primary_concept_utensil,-0.051802610469856014
color_olive,-0.05138716106923075
color_gold,-0.037693955776789245
shape_spoon,-0.02831026282703278
color_cornstalk,-0.022869767511785793
color_darkgoldenrod,-0.0067201474586435495
shape_oval,-0.004783000882306265
