treatment,score
primary_concept_middle_of_notebook,0.7085870696458941
primary_concept_plastic_box,0.7085870696458934
primary_concept_bottom_of_leaf,0.6459757004299918
primary_concept_middle_of_wheel,0.6135235772833978
primary_concept_outercircle_of_wheel,0.5888910580938005
primary_concept_branding_paper,0.5563355330635582
primary_concept_bottle_cap,0.5563355330635573
primary_concept_pipe,0.474406169645894
primary_concept_text,0.47440616964589344
primary_concept_wall,0.4664774071632597
primary_concept_top_of_box,0.44493639564451315
primary_concept_trash_bag,0.4417785549209033
primary_concept_ant,0.420670984920903
primary_concept_pile,0.35139158677587795
color_chocolate,0.3349640112326647
primary_concept_scales_of_animal,0.2907849867758788
color_orange,0.23596499454865966
color_silver,0.2307171612326639
primary_concept_ants,0.2184457860802514
primary_concept_body_of_ants,0.2116227760802506
color_green,0.20511383131460792
color_brown,0.17474999395297436
color_light,0.1745063310167638
color_beige,0.16503912512075658
primary_concept_bottle,0.16349141789355767
primary_concept_tail_of_ants,0.15326828953109303
color_grey,0.09170728273305223
color_dark,0.06976396003636004
primary_concept_rope,0.06260512964589304
primary_concept_background,0.027710566103026274
color_clear,-0.7495735970423547
primary_concept_head_of_grasshopper,-0.4785319263766328
primary_concept_top-left_of_tree,-0.46347224437663315
primary_concept_mantis,-0.4381019010118741
primary_concept_tree,-0.4345272779197482
primary_concept_seal,-0.411287643919747
primary_concept_onesie_of_storage_box,-0.39302995611872255
primary_concept_insect,-0.3776007687582004
primary_concept_legs_of_dog,-0.372579314004923
primary_concept_window,-0.3626984067345117
primary_concept_doormat,-0.3516188052241219
primary_concept_door,-0.3516188052241208
primary_concept_bottom_of_furniture,-0.306903583919748
primary_concept_bottom-right-corner_of_pump,-0.3026741932241217
primary_concept_buildings,-0.28618442322412124
primary_concept_clock,-0.2410253504459281
primary_concept_grasshopper,-0.22367188784989894
primary_concept_bee,-0.21648516791242933
primary_concept_top_of_bee,-0.21011169490619863
color_blue,-0.20184523072559213
primary_concept_praying_mantis,-0.18564824571660155
primary_concept_camera,-0.17925513171660132
primary_concept_middle_of_bicycle,-0.17083315235410657
primary_concept_top-left_of_pump,-0.15850363507909676
primary_concept_pen,-0.15297671504654076
primary_concept_photo_of_kid,-0.15088576535410647
primary_concept_note,-0.1508857653541059
primary_concept_top_of_finger,-0.135302554520504
primary_concept_sign,-0.12731022656003654
primary_concept_toiletpaper_of_toiletpaper,-0.11601801035410617
color_white,-0.11589972204235577
primary_concept_reflection_of_glass,-0.1063440203541074
primary_concept_hand,-0.1063440203541065
primary_concept_glass_of_window,-0.10634402035410634
color_red,-0.08771509083856127
color_pink,-0.07015973876733439
color_yellow,-0.061875095218101
color_black,-0.05953045963476791
primary_concept_water_background,-0.05229032693644173
color_gold,-0.04661697938476947
primary_concept_head_of_bottle,-0.0298356303541073
