treatment,score
primary_concept_shade_of_spatula,0.7035463726269027
primary_concept_side_of_spatula,0.6331491072336646
primary_concept_paper,0.5698851115916667
primary_concept_head_of_spatula,0.524683648595903
primary_concept_spatula,0.46888226287139195
primary_concept_guitar,0.4043241471238746
color_gray,0.37963243519545437
color_brown,0.3711461403444374
color_purple,0.3320644400323345
color_black,0.28107140438037315
color_green,0.09801479622583859
color_white,0.09340958288739343
color_red,0.08839647036162168
primary_concept_top_of_fork,0.04995831262690098
color_yellow,0.03138686379839917
primary_concept_background_of_photo,-0.40825627073758375
primary_concept_top-left_of_spoon,-0.39727798541721593
color_olive,-0.3389145968226051
color_olivedrab,-0.3367121647126071
primary_concept_knife_handle,-0.28462034614242765
color_golden,-0.25804836403843057
primary_concept_head_of_spoon,-0.2553786334602727
primary_concept_handle_of_spoon,-0.2362677785134187
primary_concept_head_of_knife,-0.2326949234400846
primary_concept_bottom-left_of_background,-0.19744900074884472
primary_concept_knife,-0.1851593164734186
primary_concept_spoon,-0.16239277610387062
color_bollywood,-0.14927336196766558
primary_concept_fork,-0.11996753147523553
primary_concept_spikes_of_fork,-0.11162320114008584
primary_concept_tail_of_fork,-0.11162320114008462
color_violet,-0.10355505696766537
color_silver,-0.09850370837356687
primary_concept_handle_of_knife,-0.09476087351412388
primary_concept_background,-0.09292153582582718
primary_concept_handle_of_fork,-0.09131133287612647
color_blue,-0.044604004741474246
color_gold,-0.02191595566650728
