treatment,score
primary_concept_top-left_of_spoon,0.9170198722810321
primary_concept_head_of_spoon,0.7043152076780196
color_olive,0.6920908609104064
color_olivedrab,0.6912685009104079
primary_concept_handle_of_spoon,0.6910336914302602
primary_concept_spoon,0.5498884498659791
primary_concept_background_of_photo,0.3719581037115221
color_golden,0.23666969542436067
primary_concept_background,0.15379909500884503
color_blue,0.09233948842087031
color_gray,0.05058680645097963
primary_concept_handle_of_fork,0.04926590576313844
color_silver,0.013940447120489974
color_yellow,0.0030893110226373754
primary_concept_shade_of_spatula,-0.37379413197705413
primary_concept_top_of_fork,-0.31384442727705275
color_black,-0.3133286719403991
color_white,-0.29286114778959327
primary_concept_paper,-0.2873339374832661
primary_concept_side_of_spatula,-0.2785618554892951
primary_concept_head_of_spatula,-0.27389624886623265
primary_concept_fork,-0.26790630836093265
primary_concept_knife,-0.2665891935697414
primary_concept_spikes_of_fork,-0.2618703085697414
primary_concept_tail_of_fork,-0.26187030856974125
primary_concept_bottom-left_of_background,-0.239751869355475
primary_concept_knife_handle,-0.2369933965041637
color_red,-0.20781228627945403
color_brown,-0.16319165708610758
color_purple,-0.14609589668628126
color_violet,-0.12574142383628165
color_bollywood,-0.12429470183628136
primary_concept_handle_of_knife,-0.1164590238190297
primary_concept_spatula,-0.11163993721024984
primary_concept_head_of_knife,-0.1047916885697415
color_green,-0.073785349145149
color_gold,-0.039376621988043536
primary_concept_guitar,-0.0004970195368635966
