treatment,score
primary_concept_head_of_teaspoon,0.5878230263053061
color_yellow,0.5030275516727665
primary_concept_tail_of_teaspoon,0.4795340139529754
primary_concept_light_reflections_of_spoon,0.41715751630530523
primary_concept_handle_of_spoon,0.40393579318765355
primary_concept_teaspoon,0.40124353890275644
color_green,0.3747568671343029
primary_concept_spoon,0.30999314974224607
primary_concept_head_of_spoon,0.3025765532710504
color_aquamarine,0.2528885844727135
color_bronze,0.18706848356152755
primary_concept_fork,0.1740139866201204
primary_concept_knife,0.10338391130530594
primary_concept_handle_of_fork,0.1009490963053063
color_brown,0.10038522402618422
primary_concept_tablespoon,0.09926737630530613
color_grey,0.06502910361714542
color_red,0.057525643672767524
color_golden,0.024048360209654007
primary_concept_guitar_keychain,-0.47389447681582114
color_lightbronze,-0.4102290817903467
color_gold,-0.39281531643847295
primary_concept_middle_of_background,-0.3257330718417779
primary_concept_handle_of_spatula,-0.2881223967600252
primary_concept_spatula,-0.2804938279456307
primary_concept_middle_of_the_handle_of_spatula,-0.28014739184177717
primary_concept_bottom_of_spatula,-0.2801473918417761
primary_concept_fish_knife,-0.17694255369469414
color_silver,-0.11914543645701298
primary_concept_butter_knife,-0.11367179696876784
color_black,-0.08534898129942486
color_blue,-0.0745332713272332
primary_concept_background,-0.04529880134825148
primary_concept_light_reflections_of_background,-0.043817967046590744
primary_concept_texture_of_background,-0.04381796704659052
