treatment,score
primary_concept_inside_of_basket,1.0401719964340876
primary_concept_string_of_tree,1.0345551865237723
color_skin,0.742447983347102
primary_concept_background_of_photo,0.6829340783814766
primary_concept_middle_of_insect,0.6396711551077188
primary_concept_locust,0.5992488930095297
primary_concept_top_of_prunes,0.597248406836168
primary_concept_basket,0.5940657479987878
primary_concept_window_shades,0.5877466430095301
primary_concept_ant_statue,0.5852472668361697
primary_concept_cups,0.47336553606210297
primary_concept_house_windows,0.4659584960621015
primary_concept_head_of_locust,0.4618649460621059
primary_concept_praying_mantis,0.4402611013476846
primary_concept_tree,0.44026110134768237
primary_concept_wire,0.4246653013476842
color_green,0.4154585090006722
primary_concept_bell_of_bicycle,0.36324983606210215
primary_concept_wheel_of_bicycle,0.3375524413476835
primary_concept_handlebar_of_bicycle,0.3375524413476825
primary_concept_legs_of_mantis,0.32527329606210376
primary_concept_fingers,0.3088445331886513
color_cornstalk,0.30648048449555626
primary_concept_mantis,0.25456836715197567
color_black,0.21592534570781624
color_darkgoldenrod,0.20563325741317318
color_blue,0.18576471927984067
color_yellow,0.1857647192798404
color_red,0.18576471927984017
primary_concept_insect,0.14654794821924838
color_orange,0.144931055423886
primary_concept_head_and_torso_of_mantis,0.12957006715197583
primary_concept_leaves_of_tree,0.12957006715197583
primary_concept_branches_of_tree,0.1295700671519754
color_silver,0.11063612919289112
color_white,0.09881407989289198
primary_concept_middle_of_shoe,0.08873161452377415
primary_concept_label,0.04249530952377173
primary_concept_copyright_of_petri_dish,-0.7208585823480228
primary_concept_bottom_right_of_grass,-0.7023203428480231
primary_concept_bottom_of_petri_dish,-0.5508527481523156
primary_concept_top_of_can,-0.5263488910878978
primary_concept_side_of_leaf,-0.5229672856378972
primary_concept_bee,-0.513499131808196
color_plum,-0.501410837472543
primary_concept_bicycle_bidon,-0.4989107869378976
primary_concept_infested_trash_can,-0.4931911686523158
primary_concept_head_of_bee,-0.4930130079378947
color_grey,-0.48158823847254256
primary_concept_middle_of_flip_flop,-0.479865075937899
primary_concept_bottom_of_glass_jar,-0.3887174339904707
primary_concept_petri_dish,-0.38777140649047065
primary_concept_ant,-0.3818267345167715
primary_concept_top_left_of_can,-0.3717325431638314
primary_concept_water_bottle,-0.35614464776666427
primary_concept_handle_of_keyboard,-0.3532695150950808
primary_concept_top_of_drinking_fountain,-0.3511436931638307
primary_concept_cup,-0.3493469682182315
primary_concept_backpack,-0.3490222852835808
primary_concept_wood,-0.3437345715622491
primary_concept_gravel_road,-0.3376041941220532
primary_concept_sweater,-0.33760419412205184
primary_concept_side_of_plant,-0.2420862603415337
color_brown,-0.23401609365289872
color_transplant,-0.18373620186944165
color_diagram,-0.18022925650444338
color_lightgray,-0.18006175150444337
color_bisque,-0.17733380250443992
color_maroon,-0.17417112050444264
color_gray,-0.17417112050444247
primary_concept_ground,-0.12836748161852402
primary_concept_leaf,-0.12799103904516967
color_aquamarine,-0.12489310250444266
primary_concept_background,-0.08080741712111517
primary_concept_hive,-0.05178407661852363
color_azure,-0.017677545810542705
