treatment,score
primary_concept_middle_of_fork,0.7489941420267272
primary_concept_edge_of_knife,0.7304774820267335
primary_concept_knife,0.523771989055698
primary_concept_fork,0.4963251544691035
primary_concept_top-left_of_knife,0.4903736411382973
primary_concept_top_of_fork,0.4897162011382964
primary_concept_bulb,0.4260552178701043
color_azure,0.3919155394325896
color_steel,0.3822265894325889
color_purple,0.3150563661321816
color_grey,0.30864545476269206
color_gray,0.29708262703420496
primary_concept_textura/line_of_background,0.28411465899401533
primary_concept_light_gradient_of_background,0.283458881994019
primary_concept_textures_of_background,0.28345888199401714
color_gold,0.2809651038301179
color_white,0.27238312703420475
primary_concept_middle_of_background,0.2657719062240172
color_red,0.25688703928889267
color_silver,0.25410209770367437
color_black,0.23030584428296313
color_blue,0.23028472569526415
color_aqua,0.22854785589526383
primary_concept_background,0.014980405735076474
color_bollywood,-0.6891009008706332
color_plum,-0.6855075617006311
color_yellow,-0.6814086731006306
color_olive,-0.6768789441006294
color_green,-0.5128532696172978
primary_concept_top_of_spatula,-0.45012100070075706
primary_concept_spoon_light_reflection_of_spoon,-0.4328403118617032
primary_concept_spoon,-0.42414435198930756
primary_concept_light_reflection_of_spoon,-0.41680471425556737
primary_concept_teaspoon,-0.40880971113484355
primary_concept_wire,-0.4063797762627421
primary_concept_handle_of_spatula,-0.3897727067357233
primary_concept_spatula,-0.38353728638439105
primary_concept_pasta_server,-0.37643157100729097
primary_concept_string,-0.3748137622627412
primary_concept_head_of_spatula,-0.3708265896356674
