treatment,score
color_bollywood,0.9320697139289387
primary_concept_handle_of_spatula,0.7580933527324943
primary_concept_spatula,0.7568444968209825
primary_concept_pasta_server,0.7494917442887233
primary_concept_head_of_spatula,0.7398283311808485
primary_concept_top_of_spatula,0.735603645960347
primary_concept_middle_of_background,0.5176862208378248
color_green,0.2581756427650491
primary_concept_background,0.012875910313173866
primary_concept_light_gradient_of_background,-0.47489127256217667
primary_concept_textures_of_background,-0.4748912725621759
primary_concept_textura/line_of_background,-0.47417578516217396
primary_concept_middle_of_fork,-0.23285561697686302
primary_concept_edge_of_knife,-0.21164685836575153
primary_concept_top_of_fork,-0.21153227646974487
primary_concept_wire,-0.2100846088489176
primary_concept_top-left_of_knife,-0.20767833646974365
primary_concept_spoon_light_reflection_of_spoon,-0.20764828746974467
primary_concept_teaspoon,-0.19948225270109413
primary_concept_string,-0.1974148011489188
primary_concept_knife,-0.19157862986716737
primary_concept_spoon,-0.19151104319640733
primary_concept_light_reflection_of_spoon,-0.18914455747580797
primary_concept_fork,-0.18707847827008411
primary_concept_bulb,-0.18448243136833525
color_azure,-0.12184305539486903
color_purple,-0.11235192546662606
color_steel,-0.11074544914486942
color_yellow,-0.06438670887106318
color_plum,-0.06412754837106127
color_olive,-0.064087031371063
color_red,-0.062274763395458954
color_gray,-0.056216935636184656
color_silver,-0.05478504518668692
color_aqua,-0.04905739793518088
color_blue,-0.04893182443518365
color_gold,-0.04668163001262629
color_black,-0.03634622877328017
color_white,-0.033735426136185076
color_grey,-0.01825666427390693
