treatment,score
color_palegoldenrod,0.7991442533038957
primary_concept_background_of_knife,0.6062882095132688
primary_concept_butter_knife,0.5214078422308529
primary_concept_bottom_of_knife,0.4238918757694388
primary_concept_head_of_knife,0.42389187576943754
color_maroon,0.3148895405497889
primary_concept_background_of_fork,0.2846876299557533
color_lightbronze,0.2708049955497881
primary_concept_knife,0.15459337539007
primary_concept_middle_of_background,0.14363568739619398
color_grey,0.14234196788724146
color_darkgray,0.12335176642645382
color_brown,0.11657750395950801
primary_concept_light_gradient_of_background,0.08312232959728921
primary_concept_light_gradients_of_background,0.08237435529728838
primary_concept_texture/line_of_background,0.08237435529728786
color_blue,0.030361897548521505
color_silver,0.01004014056053941
color_gold,0.009281534310539755
color_bronze,0.00901452581053891
color_golden,0.008632347810537885
color_white,0.008006403380538707
color_gray,0.00787440226054023
color_olive,-0.8250634832626585
color_yellow,-0.2965591181900252
primary_concept_textures_of_spatula,-0.26779885446551854
color_green,-0.26722604446283227
primary_concept_texture_of_spatula,-0.26172537777101523
primary_concept_bottom_of_scraper,-0.16793736623056238
primary_concept_spoon,-0.16743254236366606
primary_concept_bottom_of_utensil,-0.1673285190305625
primary_concept_head_of_fork,-0.16613230498918322
primary_concept_teaspoon,-0.16525723243056253
primary_concept_middle_of_knif,-0.1648694014956496
primary_concept_light_reflections_of_fork,-0.1636377960553897
primary_concept_handle_of_knife,-0.15226079096062178
primary_concept_head_of_teaspoon,-0.14867144804268118
primary_concept_metal_drainer/spatula,-0.13109882923056354
primary_concept_bottom-right-corner_of_spatial,-0.11924961898907341
primary_concept_top_of_scraper,-0.11862726918907418
primary_concept_tail_of_fork,-0.11752269098907504
color_red,-0.1001202838794104
color_beige,-0.07908009715021211
color_aqua,-0.07721589045021188
primary_concept_handle_of_fork,-0.06929500396715937
primary_concept_fork,-0.05862193758725162
color_black,-0.04495958306265897
primary_concept_spatula,-0.04110264182539469
primary_concept_background,-0.032372012530959976
primary_concept_top_of_fork,-0.024437213655389714
