treatment,score
primary_concept_spoon,0.6745779033757457
primary_concept_head_of_fork,0.6321385478585062
color_olive,0.5926826101010456
primary_concept_handle_of_knife,0.5826278566057668
primary_concept_teaspoon,0.5040054623412619
color_yellow,0.46588205312646536
color_grey,0.39250412980950156
primary_concept_background_of_fork,0.38010057235388794
primary_concept_knife,0.3160406379540424
color_beige,0.3026009993256888
primary_concept_texture/line_of_background,0.21263203509306333
primary_concept_light_gradients_of_background,0.2126320350930619
primary_concept_textures_of_spatula,0.16808433069552653
primary_concept_head_of_teaspoon,0.1395646136217511
primary_concept_background,0.10525801589315775
color_aqua,0.07248604932568814
color_brown,0.06320861053704158
primary_concept_middle_of_knif,0.06208025942119255
primary_concept_texture_of_spatula,0.04626450989402864
primary_concept_fork,0.037710530570425504
primary_concept_light_reflections_of_fork,-0.3390375105208076
color_red,-0.3137489967449611
primary_concept_bottom_of_scraper,-0.2721999386587377
primary_concept_metal_drainer/spatula,-0.2649058226587374
primary_concept_top_of_fork,-0.25922201352080587
primary_concept_light_gradient_of_background,-0.253040631906938
primary_concept_background_of_knife,-0.21729778449547693
color_black,-0.20525868989895285
primary_concept_bottom-right-corner_of_spatial,-0.19285883362542358
primary_concept_tail_of_fork,-0.18921422802542393
primary_concept_top_of_scraper,-0.18825652002542334
color_blue,-0.1848157850894088
primary_concept_head_of_knife,-0.18036526765873748
primary_concept_bottom_of_knife,-0.18036526765873717
primary_concept_middle_of_background,-0.1802140774104476
color_palegoldenrod,-0.17947619863604003
primary_concept_bottom_of_utensil,-0.15414234765873755
color_green,-0.12235516756957177
color_maroon,-0.1128585356743122
color_silver,-0.1116294921925659
primary_concept_butter_knife,-0.09646849223970527
primary_concept_handle_of_fork,-0.09480090237038208
color_darkgray,-0.07266734343385806
color_lightbronze,-0.050103100674311785
color_bronze,-0.03612347219256484
color_gold,-0.0344261221925663
color_golden,-0.03195762219256326
color_white,-0.026435572192565537
primary_concept_spatula,-0.024600332350197596
color_gray,-0.023697752192560595
