treatment,score
primary_concept_top_of_background,0.7349315256135387
color_grey,0.5855176355014823
primary_concept_head_of_fork,0.48190448373885275
primary_concept_fork,0.407272105484911
color_black,0.3576738086445158
color_goldenrod,0.3334613655014827
primary_concept_butter_knife,0.3222490277066382
primary_concept_knife,0.23656715494545993
color_yellow,0.13752998210171002
primary_concept_background_of_fork,0.1239251158057616
primary_concept_head_of_knife,0.1236756570169825
color_cornstalk,0.12087113912609468
primary_concept_cake_lifter,0.1031628294307762
primary_concept_tail_of_knife,0.08865235770663696
primary_concept_bottom_of_knife,0.08573374943077597
color_blue,0.07448931959163843
primary_concept_middle_of_background,0.06436653280576035
color_silver,0.036231499126094496
color_white,0.03533561187041795
color_darkgoldenrod,0.029549209370418522
color_gold,0.025297907561876942
primary_concept_sides_of_background,0.010119359430775715
color_olive,0.008011256453464038
color_red,-0.8335885708739059
color_bollywood,-0.8036526608739065
primary_concept_handle_of_spatula,-0.6214835996902892
primary_concept_guitar,-0.41349454341804454
primary_concept_top_of_spatula,-0.41200341671804497
primary_concept_shadow_of_spatula,-0.4014964565180454
primary_concept_head_of_spoon,-0.19835841455774816
primary_concept_tail_of_spoon,-0.17647986257428436
primary_concept_side_of_background,-0.12646566240774956
primary_concept_head_of_spatula,-0.1054736177292244
primary_concept_teaspoon,-0.1044068909692232
primary_concept_spoon,-0.1026681085568598
primary_concept_bottom_of_spatula,-0.10164532476922383
primary_concept_background,-0.09037965389172953
primary_concept_kitchen_spoon,-0.06442756056922447
primary_concept_spatula,-0.0635826015184079
color_green,-0.035859669619425105
primary_concept_bottom_of_utensil,-0.02866023056922387
primary_concept_head_of_butter_knife,-0.027315200569223347
