treatment,score
primary_concept_top_of_spatula,0.8709848217231794
primary_concept_guitar,0.8699791717231797
primary_concept_shadow_of_spatula,0.8605974717231794
primary_concept_handle_of_spatula,0.5790286726505387
primary_concept_head_of_spatula,0.5647456230991879
primary_concept_bottom_of_spatula,0.5623092230991869
primary_concept_kitchen_spoon,0.5197290730991886
primary_concept_bottom_of_utensil,0.4703157130991871
primary_concept_spatula,0.4157131740523355
primary_concept_sides_of_background,0.40440157309918684
primary_concept_side_of_background,0.26779028445102837
color_goldenrod,0.26520864362670754
color_yellow,0.24378728583334647
color_cornstalk,0.22665691616203842
color_red,0.15680722616203746
color_bollywood,0.13204771616203798
color_blue,0.10508499231257651
color_white,0.04216520500620885
color_darkgoldenrod,0.037023859006208804
color_gold,0.03488488766354386
color_silver,0.034028806162038294
color_grey,0.005953906626709526
primary_concept_head_of_spoon,-0.627966047798973
primary_concept_tail_of_spoon,-0.5798287786429701
primary_concept_top_of_background,-0.5461479397801223
primary_concept_spoon,-0.4289022197095064
primary_concept_teaspoon,-0.428585497400813
color_olive,-0.4213572796876453
primary_concept_head_of_fork,-0.40128789760253986
primary_concept_bottom_of_knife,-0.38643858690081256
primary_concept_fork,-0.3816190533681988
primary_concept_tail_of_knife,-0.3797962382801265
primary_concept_knife,-0.32986097296458483
primary_concept_butter_knife,-0.32515655586632985
primary_concept_head_of_knife,-0.30008805483184753
color_black,-0.28567092098423996
primary_concept_head_of_butter_knife,-0.2692056069008136
primary_concept_cake_lifter,-0.2505744769008127
primary_concept_middle_of_background,-0.19921322732349322
primary_concept_background_of_fork,-0.188896610823494
color_green,-0.17896071620375686
primary_concept_background,-0.09645025415870459
