treatment,score
primary_concept_head_of_spoon,0.860807208756337
primary_concept_tail_of_spoon,0.7907914011082143
color_red,0.7412974523945021
color_bollywood,0.7361209923945026
primary_concept_teaspoon,0.5674751349713969
primary_concept_spoon,0.5660530843681586
color_olive,0.47786215961232403
primary_concept_bottom_of_knife,0.33518760497139677
primary_concept_head_of_butter_knife,0.33100359497139853
primary_concept_tail_of_knife,0.3256266491093327
color_green,0.27933652769010087
primary_concept_background,0.22131263727289724
primary_concept_head_of_knife,0.21089517876450092
primary_concept_cake_lifter,0.18189443497139746
primary_concept_middle_of_background,0.1693294589963329
primary_concept_knife,0.1277765284472253
primary_concept_background_of_fork,0.09945425399633445
primary_concept_handle_of_spatula,0.0769375980420215
primary_concept_butter_knife,0.03739030221277695
primary_concept_fork,0.008829681524311073
color_gold,0.004333355658438287
color_goldenrod,-0.5341539243750716
color_grey,-0.526955315875073
primary_concept_bottom_of_spatula,-0.42618113562860277
primary_concept_head_of_spatula,-0.42478928302860247
primary_concept_shadow_of_spatula,-0.42461826090847865
primary_concept_top_of_spatula,-0.4244986590084782
primary_concept_guitar,-0.4220019054084773
primary_concept_kitchen_spoon,-0.42081875502860294
primary_concept_bottom_of_utensil,-0.4071726510286031
primary_concept_sides_of_background,-0.38003812502860224
primary_concept_spatula,-0.3176478165049481
color_yellow,-0.3168011072399005
color_cornstalk,-0.2830119026054982
primary_concept_top_of_background,-0.15430080364929638
color_blue,-0.11505819008290213
primary_concept_side_of_background,-0.10684182724366403
primary_concept_head_of_fork,-0.04613380109658899
color_white,-0.012984702458867625
color_black,-0.007486747676341388
color_silver,-0.00574418260550047
color_darkgoldenrod,-0.002056942458867894
