primary_concept,nde,mediator,nie,total,mediation_proportion
primary_concept_spoon,-0.3367924922292335,color_blue,-0.004191552254710123,-0.34098404448394365,0.012292517267351189
primary_concept_guitar,-0.36417369001358213,color_black,0.006858158311170845,-0.35731553170241126,-0.019193563398981026
primary_concept_background,-0.014663317066364017,color_white,0.0002973674991963814,-0.014365949567167635,-0.020699467014418164
primary_concept_head_of_spatula,-0.2041344304180235,color_blue,-0.00014138056100298477,-0.2042758109790265,0.0006921062279738087
primary_concept_head_of_spoon,-0.4020084528466408,color_gold,-0.00041647184697153996,-0.4024249246936123,0.0010349056964814552
primary_concept_handle_of_spoon,-0.43005120890889326,color_silver,0.02179695081550657,-0.40825425809338667,-0.053390627001177776
primary_concept_fork,0.4342557894326026,color_gold,0.0001296626718862554,0.43438545210448887,0.00029849681028237064
primary_concept_spikes_of_fork,0.39625057657002294,color_silver,0.023754658463258332,0.42000523503328124,0.05655800566718177
primary_concept_tail_of_fork,0.3962505765700235,color_silver,0.023754658463258315,0.4200052350332818,0.05655800566718166
primary_concept_handle_of_knife,0.28145367367562124,color_silver,-0.02372213206770982,0.2577315416079114,-0.09204202139836826
primary_concept_spatula,-0.30758130214923646,color_gold,-0.003149401154148352,-0.3107307033033848,0.010135468174425637
primary_concept_paper,-0.2317703441671907,color_yellow,-0.004269157788430694,-0.2360395019556214,0.01808662428559671
primary_concept_handle_of_fork,0.08037606908949615,color_black,0.008180894558091203,0.08855696364758736,0.09238002547882165
primary_concept_knife,0.47494913330659644,color_silver,0.02331104506001813,0.49826017836661457,0.046784884829519945
primary_concept_knife_handle,0.3224977459239893,color_bollywood,0.2924104926599451,0.6149082385839344,0.47553516819571995
primary_concept_top_of_fork,0.30805369237757557,color_blue,0.0023440208882090424,0.31039771326578464,0.007551669319812046
primary_concept_head_of_knife,0.3603607940468055,color_silver,0.0236374509864755,0.383998245033281,0.061556143269422624
primary_concept_background_of_photo,0.07771847654583697,color_green,0.005091326847137923,0.08280980339297489,0.06148217528034661
primary_concept_bottom-left_of_background,0.2782261459239908,color_violet,0.25226918770367707,0.5304953336276679,0.4755351681957189
primary_concept_top-left_of_spoon,-0.4836950246102174,color_white,0.010464737033076921,-0.4732302875771405,-0.02211341350667688
primary_concept_side_of_spatula,-0.13703891107600835,color_purple,-0.12425393978028836,-0.2612928508562967,0.47553516819572045
primary_concept_shade_of_spatula,-0.2802727929184817,color_blue,-0.002967907815732768,-0.2832407007342144,0.010478394552899282
