primary_concept,nde,mediator,nie,total,mediation_proportion
primary_concept_spoon,-0.17360863066981932,color_blue,0.01121585456594871,-0.16239277610387062,-0.06906621609063915
primary_concept_guitar,0.36639049291531534,color_black,0.03793365420855924,0.40432414712387454,0.09381990781010005
primary_concept_background,-0.09302843552979005,color_white,0.00010689970396287242,-0.09292153582582718,-0.0011504298009370618
primary_concept_head_of_spatula,0.524336448848217,color_blue,0.0003471997476860451,0.524683648595903,0.0006617315950576704
primary_concept_head_of_spoon,-0.2559262303871852,color_gold,0.0005475969269125033,-0.2553786334602727,-0.0021442550596061857
primary_concept_handle_of_spoon,-0.22115637000280067,color_silver,-0.015111408510618029,-0.2362677785134187,0.06395882081635514
primary_concept_fork,-0.11980200274144417,color_gold,-0.00016552873379135653,-0.11996753147523553,0.001379779443286503
primary_concept_spikes_of_fork,-0.09659105835715528,color_silver,-0.015032142782930549,-0.11162320114008584,0.1346686229152789
primary_concept_tail_of_fork,-0.09659105835715408,color_silver,-0.01503214278293054,-0.11162320114008462,0.13466862291528028
primary_concept_handle_of_knife,-0.11617316671923006,color_silver,0.021412293205106188,-0.09476087351412388,-0.22596133204612912
primary_concept_spatula,0.47394308427293397,color_gold,-0.005060821401542008,0.46888226287139195,-0.010793373523131377
primary_concept_paper,0.5540745335856668,color_yellow,0.015810578005999824,0.5698851115916667,0.027743448081739674
primary_concept_handle_of_fork,-0.12779582411723364,color_black,0.03648449124110718,-0.09131133287612647,-0.399561479302928
primary_concept_knife,-0.17013327122355876,color_silver,-0.015026045249859853,-0.1851593164734186,0.0811519805540921
primary_concept_knife_handle,-0.1492733619676638,color_bollywood,-0.13534698417476385,-0.28462034614242765,0.47553516819572167
primary_concept_top_of_fork,0.040689844513365846,color_blue,0.009268468113535136,0.04995831262690098,0.18552404247024865
primary_concept_head_of_knife,-0.21726867631573277,color_silver,-0.015426247124351835,-0.2326949234400846,0.06629387051636242
primary_concept_background_of_photo,-0.4063950555215126,color_green,-0.001861215216071126,-0.40825627073758375,0.004558938464578945
primary_concept_bottom-left_of_background,-0.103555056967667,color_violet,-0.09389394378117773,-0.19744900074884472,0.47553516819571495
primary_concept_top-left_of_spoon,-0.3952941125970948,color_white,-0.0019838728201211128,-0.39727798541721593,0.004993664116670539
primary_concept_side_of_spatula,0.33206444003233526,color_purple,0.3010846672013293,0.6331491072336646,0.4755351681957179
primary_concept_shade_of_spatula,0.688429541107984,color_blue,0.015116831518918666,0.7035463726269027,0.021486617097428013
