primary_concept,nde,mediator,nie,total,mediation_proportion
primary_concept_hive,0.5458636047187075,color_brown,0.010162251384625598,0.5560258561033331,0.018276580617749224
primary_concept_locust,-0.2204882846161289,color_white,-0.018912639260650243,-0.23940092387677914,0.07899985912495756
primary_concept_head_of_locust,-0.338614010989557,color_blue,0.006708501589866723,-0.33190550939969027,-0.020212082655693884
primary_concept_bee,0.62265767273194,color_yellow,0.019091440222952605,0.6417491129548926,0.02974907146353081
primary_concept_head_of_bee,0.5883215285144157,color_blue,0.01668229808589734,0.605003826600313,0.027573872019355437
primary_concept_leaf,-0.31990384939687083,color_brown,0.14337848664131608,-0.17652536275555475,-0.8122259849983193
primary_concept_ant,-0.24832280813303292,color_azure,0.0019821652577806403,-0.24634064287525229,-0.008046440224581274
primary_concept_fingers,0.6264069977167213,color_skin,-0.44052057038468817,0.1858864273320331,-2.3698371995596204
primary_concept_wire,-0.15670207720128168,color_black,-0.02758305534717744,-0.18428513254845913,0.14967596661615812
primary_concept_window_shades,-0.2258085650483889,color_white,-0.019502136828391192,-0.24531070187678009,0.07949973922534836
primary_concept_ant_statue,-0.21668207662252262,color_silver,-0.02621827187582228,-0.2429003484983449,0.1079383872353766
primary_concept_handle_of_keyboard,-0.2414600901083183,color_azure,-0.014370822801574347,-0.2558309129098926,0.05617312872051534
primary_concept_insect,-0.30717550198388954,color_brown,0.03825302446950267,-0.26892247751438686,-0.14224554534477768
primary_concept_water_bottle,0.37524896907669636,color_transplant,0.35211401413978427,0.7273629832164806,0.4840966921119585
primary_concept_middle_of_insect,-0.24110536727576073,color_azure,-0.014364262164933436,-0.2554696294406942,0.05622688769847697
primary_concept_wood,-0.12292177922330219,color_bisque,-0.11534337113309023,-0.23826515035639242,0.4840966921119679
primary_concept_praying_mantis,-0.15454294054533088,color_black,-0.027570986003129423,-0.18211392654846031,0.1513941658700814
primary_concept_tree,-0.1545429405453304,color_black,-0.027570986003129242,-0.18211392654845965,0.15139416587008098
primary_concept_string_of_tree,-0.6524987770420466,color_grey,0.037859825407837534,-0.6146389516342091,-0.06159685341642503
primary_concept_house_windows,-0.3423127843079956,color_blue,0.006668702908307062,-0.33564408139968854,-0.019868376288649344
primary_concept_gravel_road,-0.11099827092330376,color_gray,-0.10415497431890804,-0.2151532452422118,0.48409669211196005
primary_concept_sweater,-0.1109982709233036,color_maroon,-0.10415497431890876,-0.21515324524221235,0.48409669211196216
primary_concept_top_left_of_can,-0.19724297358818105,color_silver,-0.024064380910164346,-0.2213073544983454,0.10873737551430657
primary_concept_bottom_right_of_grass,-0.12353234516468917,color_green,-0.015656611638585862,-0.13918895680327503,0.1124845820973742
primary_concept_cups,-0.3448294525028945,color_yellow,0.001970523284287921,-0.34285892921860656,-0.005747329634315917
primary_concept_background,0.11333145508254605,color_black,0.16013861044174627,0.2734700655242923,0.585580034636446
primary_concept_infested_trash_can,-0.1598893003631151,color_black,-0.02760087158534509,-0.18749017194846018,0.14721236477895167
primary_concept_bottom_of_glass_jar,0.6680936770384828,color_white,0.07954399508473672,0.7476376721232195,0.1063937760905485
primary_concept_label,0.3231123962455181,color_grey,0.05302582012027222,0.3761382163657903,0.1409742956528118
primary_concept_petri_dish,-0.2112194948119025,color_white,-0.01788563906487806,-0.22910513387678055,0.07806738662826072
primary_concept_copyright_of_petri_dish,-0.12887548229750045,color_green,-0.01570090050577474,-0.1445763828032752,0.10859934521351888
primary_concept_bottom_of_petri_dish,-0.14058659304210072,color_black,-0.027492971506359355,-0.16807956454846007,0.16357117285624978
primary_concept_side_of_plant,-0.11120608592330342,color_aquamarine,-0.10434997705010482,-0.21555606297340824,0.48409669211196255
primary_concept_top_of_can,0.6352454918054319,color_blue,0.021031794794881084,0.6562772866003129,0.03204711670554874
primary_concept_middle_of_shoe,0.27156274191115554,color_grey,0.052224474454633206,0.3237872163657887,0.16129257677558895
primary_concept_middle_of_flip_flop,0.5647363971703567,color_red,0.03804568942995719,0.602782086600314,0.06311682161050035
primary_concept_basket,-0.12210338812330464,color_cornstalk,-0.11457543571126312,-0.23667882383456776,0.4840966921119581
primary_concept_inside_of_basket,-0.026182572607799492,color_plum,-0.02420750479860828,-0.050390077406407774,0.48040221497119534
primary_concept_head_and_torso_of_mantis,-0.008942749817026084,color_green,-0.0147067869862495,-0.023649536803275584,0.6218636376934255
primary_concept_legs_of_mantis,-0.20442900603211403,color_yellow,0.0037461326324267972,-0.20068287339968724,-0.01866692742118489
primary_concept_leaves_of_tree,-0.008942749817025536,color_green,-0.014706786986249604,-0.02364953680327514,0.6218636376934416
primary_concept_branches_of_tree,-0.008942749817024366,color_green,-0.014706786986249552,-0.02364953680327392,0.6218636376934715
primary_concept_background_of_photo,-0.19032663564922528,color_brown,0.005739581752559797,-0.1845870538966655,-0.031094172811127363
primary_concept_cup,0.005917809076696254,color_diagram,0.005552962647799811,0.011470771724496065,0.48409669211194806
primary_concept_mantis,-0.12711435713329627,color_green,-0.015686302669978322,-0.1428006598032746,0.10984755036558042
primary_concept_side_of_leaf,-0.34706058937862994,color_blue,0.0066176166789424454,-0.3404429726996875,-0.019438253127874065
primary_concept_top_of_prunes,-0.21501026234286216,color_silver,-0.02603303155548174,-0.2410432938983439,0.10800147614337177
primary_concept_top_of_drinking_fountain,0.6246999490544267,color_silver,0.06700851644722886,0.6917084655016555,0.09687392852512151
primary_concept_ground,0.6023875267379181,color_brown,0.01050181936541647,0.6128893461033346,0.017134935420538115
primary_concept_handlebar_of_bicycle,-0.1348156012717247,color_black,-0.027460712276734106,-0.1622763135484588,0.16922193804047572
primary_concept_wheel_of_bicycle,-0.13481560127172576,color_black,-0.027460712276734366,-0.16227631354846012,0.16922193804047594
primary_concept_bell_of_bicycle,-0.322686351096077,color_blue,0.0068798826963895575,-0.31580646839968746,-0.021785122804015265
primary_concept_backpack,0.37155966907669497,color_lightgray,0.348652167900574,0.720211836977269,0.4840966921119599
primary_concept_bicycle_bidon,0.5666831468034312,color_blue,0.016449469796883713,0.5831326166003149,0.028208797327758377
