primary_concept,nde,mediator,nie,total,mediation_proportion
primary_concept_hive,-0.022951056401973625,color_brown,-0.028833020216550008,-0.05178407661852363,0.5567931707840124
primary_concept_locust,0.4791804003995901,color_white,0.12006849260993956,0.5992488930095297,0.20036498024541222
primary_concept_head_of_locust,0.43968841148083754,color_blue,0.022176534581268354,0.4618649460621059,0.04801519312159778
primary_concept_bee,-0.555322399772763,color_yellow,0.041823267964566986,-0.513499131808196,-0.08144759235968672
primary_concept_head_of_bee,-0.5050244624780116,color_blue,0.012011454540116848,-0.4930130079378947,-0.024363362318484592
primary_concept_leaf,-0.11948787674826652,color_brown,-0.008503162296903148,-0.12799103904516967,0.06643560643258996
primary_concept_ant,-0.37708156566202755,color_azure,-0.004745168854743939,-0.3818267345167715,0.012427544814925761
primary_concept_fingers,-0.05405605059984253,color_skin,0.3629005837884938,0.3088445331886513,1.1750267360789692
primary_concept_wire,0.38699588697855464,color_black,0.037669414369129586,0.4246653013476842,0.08870377271132092
primary_concept_window_shades,0.4688254944112517,color_white,0.11892114859827836,0.5877466430095301,0.20233403289102259
primary_concept_ant_statue,0.4593619327932149,color_silver,0.12588533404295474,0.5852472668361697,0.2150976880652298
primary_concept_handle_of_keyboard,-0.35100299230714077,color_azure,-0.0022665227879400548,-0.3532695150950808,0.006415845950732632
primary_concept_insect,0.11988972980171143,color_brown,0.02665821841753695,0.14654794821924838,0.1819078243091739
primary_concept_water_bottle,-0.18373620186944464,color_transplant,-0.17240844589721963,-0.35614464776666427,0.4840966921119553
primary_concept_middle_of_insect,0.6239066205723773,color_azure,0.015764534535341452,0.6396711551077188,0.02464474817953414
primary_concept_wood,-0.17733380250444533,color_bisque,-0.1664007690578038,-0.3437345715622491,0.48409669211195183
primary_concept_praying_mantis,0.4025049927284899,color_black,0.03775610861919469,0.4402611013476846,0.08575844766575869
primary_concept_tree,0.40250499272848783,color_black,0.037756108619194546,0.44026110134768237,0.0857584476657588
primary_concept_string_of_tree,1.047998560482217,color_grey,-0.013443373958444827,1.0345551865237723,-0.012994351711305176
primary_concept_house_windows,0.44373838390819387,color_blue,0.02222011215390765,0.4659584960621015,0.04768689130404057
primary_concept_gravel_road,-0.17417112050444442,color_gray,-0.1634330736176088,-0.3376041941220532,0.48409669211195655
primary_concept_sweater,-0.17417112050444292,color_maroon,-0.16343307361760892,-0.33760419412205184,0.4840966921119589
primary_concept_top_left_of_can,-0.4021595925855762,color_silver,0.030427049421744807,-0.3717325431638314,-0.08185199273321324
primary_concept_bottom_right_of_grass,-0.7416412279127335,color_green,0.039320885064710334,-0.7023203428480231,-0.05598710825498483
primary_concept_cups,0.4384292986213268,color_yellow,0.034936237440776174,0.47336553606210297,0.07380393116788446
primary_concept_background,0.03406507318423137,color_black,-0.11487249030534653,-0.08080741712111517,1.4215587429700198
primary_concept_infested_trash_can,-0.5257583838182049,color_black,0.03256721516588917,-0.49319116865231577,-0.06603365436344223
primary_concept_bottom_of_glass_jar,-0.410236751525402,color_white,0.02151931753493132,-0.3887174339904707,-0.055359795196268095
primary_concept_label,0.07112431283959471,color_grey,-0.028629003315822976,0.04249530952377173,-0.6736979595314634
primary_concept_petri_dish,-0.4093850898222672,color_white,0.02161368333179655,-0.38777140649047065,-0.05573820805255196
primary_concept_copyright_of_petri_dish,-0.7600270685441222,color_green,0.03916848619609931,-0.7208585823480228,-0.054335881066321534
primary_concept_bottom_of_petri_dish,-0.5830994329579596,color_black,0.03224668480564405,-0.5508527481523156,-0.05853957325947217
primary_concept_side_of_plant,-0.12489310250444259,color_aquamarine,-0.1171931578370911,-0.2420862603415337,0.4840966921119595
primary_concept_top_of_can,-0.5616790790699394,color_blue,0.035330187982041586,-0.5263488910878978,-0.06712313558601496
