primary_concept,nde,mediator,nie,total,mediation_proportion
primary_concept_spatula,-0.35713491276465636,color_black,0.027305927013574226,-0.32982898575108216,-0.08278813625610719
primary_concept_background,-0.14306102309029722,color_green,0.15868297057369757,0.015621947483400345,10.157694534712256
primary_concept_knife,-0.27756505937780596,color_white,-0.01115003537845886,-0.28871509475626483,0.03861950961681374
primary_concept_spoon,0.6549835662828094,color_gold,0.004150075395956712,0.6591336416787661,0.0062962578960266205
primary_concept_string,0.620367492197191,color_black,-0.004660676657132975,0.615706815540058,-0.0075696362936066115
primary_concept_fork,-0.2505803282503388,color_gold,-0.0151881431889991,-0.2657684714393379,0.057148024770371675
primary_concept_middle_of_background,-0.7584947939470945,color_green,0.018514930622988878,-0.7399798633241056,-0.0250208573782223
primary_concept_wire,0.664496349601687,color_black,-0.004553704061629547,0.6599426455400574,-0.006900151236480663
primary_concept_bulb,-0.24874460315735689,color_yellow,0.050650049405998515,-0.19809455375135837,-0.25568622885802683
primary_concept_middle_of_fork,-0.22356085792411778,color_azure,-0.20368878166419718,-0.42724963958831497,0.4767441860465128
primary_concept_pasta_server,-0.3127593013045605,color_red,-0.016822726907409886,-0.32958202821197036,0.05104260993439353
primary_concept_handle_of_spatula,-0.2938372958710647,color_purple,-0.031005077290362813,-0.32484237316142756,0.0954465299234688
primary_concept_head_of_spatula,-0.35001363674611136,color_black,0.02449015469826669,-0.32552348204784465,-0.07523314307220143
primary_concept_top_of_spatula,-0.22186632375781867,color_grey,-0.020138071041806645,-0.24200439479962532,0.08321365840682586
primary_concept_top_of_fork,-0.22334764503581123,color_white,-0.011357946173063009,-0.23470559120887424,0.04839231189407457
primary_concept_top-left_of_knife,-0.22782064793773432,color_white,-0.011396344271141907,-0.23921699220887624,0.04764019548072489
primary_concept_teaspoon,0.6475538957238283,color_blue,0.0042162596478982585,0.6517701553717266,0.006468936346883792
primary_concept_edge_of_knife,-0.22496953792412508,color_steel,-0.20497224566419694,-0.429941783588322,0.4767441860465044
primary_concept_spoon_light_reflection_of_spoon,0.6875056493613726,color_white,-0.0035388065702478214,0.6839668427911247,-0.005173944625453913
primary_concept_textura/line_of_background,0.210362507283506,color_green,0.023176861714789634,0.23353936899829564,0.09924177586931297
primary_concept_light_reflection_of_spoon,0.6566190188129966,color_silver,-0.007191433855651316,0.6494275849573452,-0.011073496140641537
primary_concept_textures_of_background,0.2117273201003958,color_green,0.02318342889789983,0.23491074899829562,0.09869037069081942
primary_concept_light_gradient_of_background,0.2117273201003943,color_green,0.023183428897899414,0.23491074899829373,0.09869037069081843
