primary_concept,nde,mediator,nie,total,mediation_proportion
primary_concept_background,-0.05960380576994645,color_blue,0.027231793238986477,-0.032372012530959976,-0.8412140954456417
primary_concept_fork,-0.054199468162949765,color_black,-0.0044224694243018585,-0.05862193758725162,0.07544051947651083
primary_concept_handle_of_knife,-0.0790800971502123,color_beige,-0.07318069381040948,-0.15226079096062178,0.48062730627306227
primary_concept_spatula,-0.03957888594785191,color_blue,-0.0015237558775427823,-0.04110264182539469,0.037071969339969556
primary_concept_metal_drainer/spatula,-0.13378399526919177,color_silver,0.00268516603862822,-0.13109882923056354,-0.0204819986142349
primary_concept_spoon,-0.16867592523408523,color_bronze,0.0012433828704191587,-0.16743254236366606,-0.007426172074234601
primary_concept_tail_of_fork,-0.11815328639742452,color_black,0.0006305954083494835,-0.11752269098907504,-0.005365733230258521
primary_concept_teaspoon,-0.16785914824186132,color_silver,0.0026019158112987775,-0.16525723243056253,-0.015744641084873823
primary_concept_head_of_knife,0.41985409666846796,color_silver,0.004037779100969579,0.42389187576943754,0.009525493013142343
primary_concept_bottom_of_knife,0.4198540966684693,color_silver,0.004037779100969511,0.4238918757694388,0.009525493013142153
primary_concept_middle_of_background,0.09987260676134695,color_black,0.04376308063484703,0.14363568739619398,0.30468110974492163
primary_concept_butter_knife,0.27080499554978793,color_lightbronze,0.250602846681065,0.5214078422308529,0.4806273062730628
primary_concept_knife,0.15798631397184384,color_silver,-0.0033929385817738473,0.15459337539007,-0.02194750307516596
primary_concept_background_of_knife,0.3148895405497872,color_maroon,0.2913986689634816,0.6062882095132688,0.48062730627306427
primary_concept_background_of_fork,0.6829941391170365,color_olive,-0.39830650916128324,0.2846876299557533,-1.399100161897406
primary_concept_head_of_teaspoon,-0.07721589045021147,color_aqua,-0.0714555575924697,-0.14867144804268118,0.4806273062730644
primary_concept_bottom-right-corner_of_spatial,-0.11987698436297473,color_black,0.0006273653739013204,-0.11924961898907341,-0.0052609423763341715
primary_concept_handle_of_fork,-0.06012138400151715,color_red,-0.00917361996564223,-0.06929500396715937,0.13238501248935403
primary_concept_middle_of_knif,-0.1569757383591209,color_blue,-0.007893663136528698,-0.1648694014956496,0.04787827859456982
primary_concept_head_of_fork,-0.16176816807765476,color_gold,-0.004364136911528445,-0.16613230498918322,0.0262690444932585
primary_concept_bottom_of_scraper,-0.17053275006942614,color_silver,0.0025953838388637746,-0.16793736623056238,-0.015454475064831934
primary_concept_top_of_scraper,-0.11925579860183105,color_black,0.00062852941275687,-0.11862726918907418,-0.0052983552352965976
primary_concept_top_of_fork,-0.022084298539959454,color_white,-0.0023529151154302605,-0.024437213655389714,0.09628409967726892
primary_concept_light_reflections_of_fork,-0.15965032314986075,color_white,-0.003987472905528956,-0.1636377960553897,0.024367676671587766
primary_concept_light_gradient_of_background,0.10161901161110048,color_green,-0.01849668201381128,0.08312232959728921,-0.22252362395789366
primary_concept_bottom_of_utensil,-0.16992538674054025,color_silver,0.00259686770997775,-0.1673285190305625,-0.015519576250498176
primary_concept_textures_of_spatula,-0.27070247646152756,color_darkgray,0.0029036219960090104,-0.26779885446551854,-0.010842548231971161
primary_concept_texture_of_spatula,-0.26879503435999563,color_brown,0.007069656588980395,-0.26172537777101523,-0.027011735159918927
primary_concept_texture/line_of_background,0.1008770004737006,color_green,-0.018502645176412747,0.08237435529728786,-0.2246165704075858
primary_concept_light_gradients_of_background,0.1008770004737015,color_green,-0.01850264517641312,0.08237435529728838,-0.22461657040758887
