primary_concept,nde,mediator,nie,total,mediation_proportion
primary_concept_spatula,0.5087559917525575,color_black,-0.09304281770022203,0.41571317405233543,-0.22381493661422572
primary_concept_background,-0.06739113142162549,color_olive,-0.029059122737079102,-0.09645025415870459,0.30128611884488776
primary_concept_head_of_spoon,-0.635649649387978,color_yellow,0.007683601589004996,-0.627966047798973,-0.012235695888234869
primary_concept_tail_of_spoon,-0.6157982754234645,color_blue,0.03596949678049438,-0.5798287786429701,-0.06203468697203562
primary_concept_middle_of_background,-0.19233904771220556,color_green,-0.006874179611287659,-0.19921322732349322,0.034506642473719845
primary_concept_fork,-0.3873091947020252,color_gold,0.005690141333826417,-0.3816190533681988,-0.01491052735340334
primary_concept_head_of_fork,-0.3893925722257338,color_gold,-0.01189532537680603,-0.40128789760253986,0.029642870985827463
primary_concept_head_of_knife,-0.28516981834676947,color_silver,-0.014918236485078078,-0.30008805483184753,0.049712863424162014
primary_concept_tail_of_knife,-0.3809730418271062,color_cornstalk,0.001176803546979666,-0.3797962382801265,-0.0030985129086815505
primary_concept_bottom_of_knife,-0.3887824769459004,color_silver,0.0023438900450878245,-0.38643858690081256,-0.006065362322860973
primary_concept_knife,-0.32801777517657604,color_gold,-0.001843197788008786,-0.32986097296458483,0.005587801950146673
primary_concept_butter_knife,-0.3143678458465812,color_silver,-0.010788710019748656,-0.32515655586632985,0.03318004765736243
primary_concept_spoon,-0.43260324083857804,color_white,0.0037010211290716315,-0.4289022197095064,-0.008629055665830587
primary_concept_background_of_fork,-0.1820161557075598,color_green,-0.006880455115934177,-0.188896610823494,0.036424449787314135
primary_concept_top_of_background,-0.543999661666104,color_red,-0.002148278114018345,-0.5461479397801223,0.003933509508217198
primary_concept_handle_of_spatula,0.573038155701419,color_grey,0.005990516949119666,0.5790286726505387,0.01034580363990908
primary_concept_shadow_of_spatula,0.8633540547356823,color_black,-0.002756583012502886,0.8605974717231794,-0.003203103777406368
primary_concept_cake_lifter,-0.25298008691655866,color_silver,0.002405610015745943,-0.2505744769008127,-0.009600379278445741
primary_concept_guitar,0.8727209283937711,color_black,-0.0027417566705913933,0.8699791717231797,-0.0031515198980692355
primary_concept_head_of_spatula,0.5619696317321858,color_silver,0.002775991367002012,0.5647456230991879,0.004915472123126941
primary_concept_sides_of_background,0.4016984223820166,color_silver,0.002703150717170237,0.40440157309918684,0.006684322952688515
primary_concept_bottom_of_spatula,0.5595343385332121,color_silver,0.002774884565974701,0.5623092230991869,0.00493480179940999
primary_concept_top_of_spatula,0.8737249891177608,color_black,-0.00274016739458133,0.8709848217231794,-0.00314605642513966
primary_concept_head_of_butter_knife,-0.2716027532185533,color_silver,0.0023971463177397396,-0.2692056069008136,-0.00890451854007241
primary_concept_bottom_of_utensil,0.46758261908951126,color_silver,0.002733094009675883,0.4703157130991871,0.005811190086901238
primary_concept_side_of_background,0.2590516035542231,color_yellow,0.008738680896805295,0.26779028445102837,0.03263255392076543
primary_concept_teaspoon,-0.43091024106442155,color_silver,0.002324743663608573,-0.428585497400813,-0.0054242238193012715
primary_concept_kitchen_spoon,0.5169735317255304,color_silver,0.0027555413736582404,0.5197290730991886,0.005301880376302048
