primary_concept,nde,mediator,nie,total,mediation_proportion
primary_concept_spatula,-0.33479339543139586,color_black,0.017145578926447726,-0.3176478165049481,-0.05397669379597528
primary_concept_background,0.18835662626515062,color_olive,0.032956011007746616,0.22131263727289724,0.14891156426421806
primary_concept_head_of_spoon,0.8669200723517936,color_yellow,-0.0061128635954565596,0.860807208756337,-0.007101315524864392
primary_concept_tail_of_spoon,0.8328195615555307,color_blue,-0.042028160447316394,0.7907914011082143,-0.05314696187694779
primary_concept_middle_of_background,0.16012175349009097,color_green,0.009207705506241908,0.1693294589963329,0.05437745777266858
primary_concept_fork,0.037878319715203404,color_gold,-0.029048638190892335,0.00882968152431107,-3.289885157342505
primary_concept_head_of_fork,-0.00846511883940921,color_gold,-0.03766868225717978,-0.04613380109658899,0.8165094000885373
primary_concept_head_of_knife,0.2080762950880927,color_silver,0.0028188836764082305,0.21089517876450092,0.013366278418132909
primary_concept_tail_of_knife,0.3287021058016645,color_cornstalk,-0.0030754566923317695,0.3256266491093327,-0.00944473279672866
primary_concept_bottom_of_knife,0.33656814022024134,color_silver,-0.001380535248844561,0.33518760497139677,-0.004118694212938957
primary_concept_knife,0.08322321844656407,color_gold,0.04455331000066125,0.1277765284472253,0.3486814874537995
primary_concept_butter_knife,-0.03143456735147235,color_silver,0.0688248695642493,0.03739030221277695,1.8407144497679557
primary_concept_spoon,0.5671928074679965,color_white,-0.0011397230998379118,0.5660530843681586,-0.002013456213404608
primary_concept_background_of_fork,0.09039622998667407,color_green,0.009058024009660385,0.09945425399633445,0.09107729077123472
primary_concept_top_of_background,-0.1700376488082707,color_red,0.015736845158974347,-0.15430080364929638,-0.1019880958931487
primary_concept_handle_of_spatula,0.08882646473611525,color_grey,-0.01188886669409375,0.0769375980420215,-0.15452609642947693
primary_concept_shadow_of_spatula,-0.4202484445696922,color_black,-0.004369816338786448,-0.42461826090847865,0.01029116442010088
primary_concept_cake_lifter,0.18334460781588438,color_silver,-0.0014501728444869346,0.18189443497139746,-0.007972606994353464
primary_concept_guitar,-0.4176362238193848,color_black,-0.004365681589092479,-0.42200190540847726,0.01034517032539631
primary_concept_head_of_spatula,-0.42306350758918637,color_silver,-0.0017257754394160779,-0.42478928302860247,0.004062662379596511
primary_concept_sides_of_background,-0.3783326790209889,color_silver,-0.0017054460076133353,-0.38003812502860224,0.0044875655764404715
primary_concept_bottom_of_spatula,-0.42445472790225214,color_silver,-0.001726407726350631,-0.42618113562860277,0.004050877859256342
primary_concept_top_of_spatula,-0.4201290316822014,color_black,-0.004369627326276837,-0.4244986590084782,0.010293618680641263
primary_concept_head_of_butter_knife,0.3323860309206888,color_silver,-0.001382435949290296,0.33100359497139853,-0.004176498292744373
primary_concept_bottom_of_utensil,-0.40545487842385874,color_silver,-0.0017177726047443913,-0.4071726510286031,0.004218781886270944
primary_concept_side_of_background,-0.09962165806184342,color_yellow,-0.007220169181820607,-0.10684182724366403,0.06757811400355641
primary_concept_teaspoon,0.5687501472860695,color_silver,-0.0012750123146726435,0.5674751349713969,-0.0022468161794206355
primary_concept_kitchen_spoon,-0.41909478330962247,color_silver,-0.0017239717189804684,-0.42081875502860294,0.004096708377133264
