treatment,score
primary_concept_top_of_background,0.9309514718669518
color_grey,0.650076237164899
primary_concept_head_of_fork,0.511719543255498
color_black,0.4094492026504571
color_goldenrod,0.39801996716489896
primary_concept_fork,0.39712210148634675
shape_semicircle,0.34412686842973395
shape_curve,0.3437394961000596
primary_concept_butter_knife,0.30857737617802994
primary_concept_tail_of_knife,0.23421730707139873
primary_concept_knife,0.23178507234492687
color_yellow,0.2150985317669303
shape_fork shape,0.1399195461815897
primary_concept_head_of_knife,0.13477796175355805
color_cornstalk,0.13045194659341677
color_silver,0.10637528817008052
shape_square,0.10540738180855957
primary_concept_background_of_fork,0.10221187730138487
color_olive,0.07245054994277278
color_white,0.06974813194561238
primary_concept_cake_lifter,0.06052281988061492
primary_concept_bottom_of_knife,0.04717798133541884
primary_concept_middle_of_background,0.04265329430138384
color_green,0.017134179679060585
color_red,-1.0257019876126268
color_bollywood,-0.9991752639846334
primary_concept_handle_of_spatula,-0.63013001347263
primary_concept_guitar,-0.4069015482804057
primary_concept_top_of_spatula,-0.40541042158040463
primary_concept_shadow_of_spatula,-0.3949034613804068
shape_rectangular,-0.17999278376026118
primary_concept_head_of_spatula,-0.16608042352575597
primary_concept_head_of_spoon,-0.162973671768204
primary_concept_tail_of_spoon,-0.15900544712092465
primary_concept_teaspoon,-0.14704690051939068
primary_concept_bottom_of_spatula,-0.14428533431939072
shape_parallelogram,-0.14293541400027399
shape_oval,-0.1386127218313195
primary_concept_side_of_background,-0.13092398630147783
primary_concept_spatula,-0.1198446367269115
primary_concept_background,-0.11075468942816592
primary_concept_spoon,-0.1074538093805396
primary_concept_kitchen_spoon,-0.10706757011939125
shape_spoon,-0.0897416984132105
primary_concept_head_of_butter_knife,-0.06995521011938573
color_gold,-0.06845000907416342
primary_concept_bottom_of_utensil,-0.06721599866458133
color_blue,-0.052692096013451595
shape_rectangle,-0.04233137493562819
color_darkgoldenrod,-0.034267025816300645
primary_concept_sides_of_background,-0.03252065011939048
