treatment,score
primary_concept_legs_of_dog,1.2440968267532453
primary_concept_top-left_of_tree,0.5851415670874476
primary_concept_head_of_grasshopper,0.5520910924957626
primary_concept_tree,0.5450115755734646
primary_concept_mantis,0.5230436753360752
primary_concept_window,0.5217327351168051
primary_concept_door,0.48287256658496186
primary_concept_onesie_of_storage_box,0.47275296813162415
primary_concept_clock,0.45332336230347486
primary_concept_toiletpaper_of_toiletpaper,0.4154650887642679
primary_concept_reflection_of_glass,0.39771639336070885
primary_concept_hand,0.39771639336070835
primary_concept_grasshopper,0.394002353482014
primary_concept_doormat,0.38921884238255605
primary_concept_glass_of_window,0.38615665202514604
color_black,0.34975830553036436
primary_concept_praying_mantis,0.3293686743810771
primary_concept_bottom-right-corner_of_pump,0.31037621415852845
primary_concept_pen,0.30978667053006037
shape_round,0.30740691318330704
primary_concept_top-left_of_pump,0.2839489778129434
color_gold,0.27134208493551026
primary_concept_insect,0.25608830238507946
primary_concept_buildings,0.24587176615935769
shape_mantis,0.229862610352974
shape_plant,0.2171566251610596
shape_tree,0.20388969793745826
shape_hand,0.16554706848887146
shape_man,0.16554706848887052
shape_pen,0.14339742519393933
color_white,0.12609125916407854
shape_line,0.11592622587825496
color_yellow,0.10649011242637252
color_grey,0.08773004417342456
color_dark,0.07549273710982762
color_light,0.07094896932508793
color_brown,0.058708801201542704
color_red,0.058585401790706815
color_blue,0.05854162801638657
shape_square,0.04364874589728074
color_green,0.03580549541639255
primary_concept_tail_of_ants,0.03055316969231514
color_orange,0.02796187696509289
color_beige,-0.7494182737257771
primary_concept_ant,-0.5181812990412816
primary_concept_camera,-0.47419659013850785
primary_concept_middle_of_wheel,-0.4733537197158583
primary_concept_outercircle_of_wheel,-0.44653316609572846
primary_concept_bottle,-0.4439090684810675
primary_concept_middle_of_bicycle,-0.44232938553968837
primary_concept_middle_of_notebook,-0.42895631323573336
primary_concept_plastic_box,-0.4289563132357329
primary_concept_bee,-0.428618426838847
primary_concept_pile,-0.4191774350616707
primary_concept_text,-0.4163744472357335
primary_concept_pipe,-0.41637444723573247
primary_concept_wall,-0.39235927129752046
primary_concept_trash_bag,-0.3490086230412794
primary_concept_bottle_cap,-0.3487563043906204
primary_concept_branding_paper,-0.3487563043906192
primary_concept_top_of_bee,-0.32075211309572915
primary_concept_bottom_of_leaf,-0.30507389213433955
primary_concept_seal,-0.30191750246395427
primary_concept_head_of_bottle,-0.29943436908087817
primary_concept_water_background,-0.2906990783906201
shape_circle,-0.2868981881688068
primary_concept_bottom_of_furniture,-0.27291274246395325
primary_concept_scales_of_animal,-0.2690745991732255
primary_concept_sign,-0.24665348211490395
primary_concept_top_of_finger,-0.19724675434330968
primary_concept_top_of_box,-0.19639556875259617
primary_concept_ants,-0.1908020524639535
shape_tubular,-0.1884106201351171
primary_concept_note,-0.18522824797485327
shape_oval,-0.1802929850656294
primary_concept_photo_of_kid,-0.17230976448779656
shape_sphere,-0.16048665204949558
primary_concept_rope,-0.14998209123573453
shape_triangle,-0.1279175049168662
primary_concept_body_of_ants,-0.11013124521632578
shape_trapezoidal,-0.1040607494903642
color_pink,-0.10268580346000872
color_chocolate,-0.08200141485386109
shape_irregular,-0.08200141485386098
color_clear,-0.08164267388406848
shape_rectangular,-0.07064660813873991
color_silver,-0.052789553363844444
shape_god,-0.05278955336384422
primary_concept_background,-0.04636641561094451
