treatment,score
primary_concept_knife_handle,0.641117404164219
primary_concept_bottom-left_of_background,0.5478001695940625
primary_concept_knife,0.5045366833819902
primary_concept_fork,0.4399354593623491
primary_concept_tail_of_fork,0.41496452571107934
primary_concept_spikes_of_fork,0.4149645257110782
primary_concept_head_of_knife,0.3799134734986904
color_bollywood,0.33769927057993465
primary_concept_handle_of_knife,0.2812313148820141
primary_concept_top_of_fork,0.23100901819358993
color_red,0.20703626350989984
shape_rectangular,0.17607043945865514
shape_circle,0.17607043945865464
color_white,0.17355713353392382
color_silver,0.16378045427719132
shape_triangle,0.1603925746293694
color_blue,0.15976997698712891
color_gold,0.1561437641251821
color_violet,0.15021003648169828
shape_semicircle,0.15021003648169806
color_golden,0.14511775337395816
primary_concept_background_of_photo,0.13371411333527078
color_black,0.11533352418250015
primary_concept_handle_of_fork,0.09635955335551966
shape_oval,0.09341508690351769
shape_long,0.07868778135193588
shape_straight,0.06853068788780431
shape_round,0.06483427375210477
shape_trapezoidal,0.06385990143780629
primary_concept_background,0.05091603249318205
shape_cylinder,0.03258413688826145
primary_concept_handle_of_spoon,-0.42188931268723834
primary_concept_head_of_spoon,-0.41679269942769337
color_olivedrab,-0.3790951102780805
color_olive,-0.3777150373780803
primary_concept_spoon,-0.36694650357300396
primary_concept_top-left_of_spoon,-0.3581047104435303
primary_concept_shade_of_spatula,-0.35632914985567776
primary_concept_guitar,-0.3468849541756945
shape_square,-0.3218468987334323
primary_concept_spatula,-0.3067236672868878
color_brown,-0.2855726717044346
primary_concept_side_of_spatula,-0.23130659648048188
primary_concept_head_of_spatula,-0.1652351032265605
primary_concept_paper,-0.15369073865181285
shape_rectangle,-0.13512259249714612
color_purple,-0.12183738642006614
color_gray,-0.11630027464690246
shape_fork,-0.11630027464690212
color_yellow,-0.0355956564657835
color_green,-0.008224501220814917
