treatment,score
primary_concept_shade_of_spatula,0.8485705427368697
primary_concept_side_of_spatula,0.6828969085652808
primary_concept_spatula,0.6619969601943719
primary_concept_guitar,0.6199633475139357
color_brown,0.5970310156962058
shape_square,0.5326386207166538
primary_concept_head_of_spatula,0.5203550710108377
primary_concept_paper,0.5015803265319625
shape_oval,0.4763905402159547
shape_round,0.3912352108657209
shape_trapezoidal,0.3706163072571729
shape_straight,0.3704051636742335
color_purple,0.3597060170350893
color_white,0.19525937369894458
primary_concept_top_of_fork,0.18980595664650846
color_yellow,0.17339342113753897
color_green,0.130729379243606
primary_concept_handle_of_fork,0.12102712766843354
color_black,0.10820129709481091
color_gray,0.09073131726843364
shape_fork,0.09073131726843281
shape_long,0.07617182923473609
primary_concept_tail_of_fork,0.04750061917806775
primary_concept_spikes_of_fork,0.047500619178065584
shape_cylinder,0.043027594386825185
shape_circle,0.033449722460334896
shape_rectangular,0.0334497224603334
primary_concept_fork,0.03168241288914886
primary_concept_top-left_of_spoon,-0.41978998013112967
primary_concept_background_of_photo,-0.3593740866339641
color_golden,-0.23898899101480392
color_blue,-0.23567833921143871
color_olive,-0.23547921426690338
color_olivedrab,-0.2332767821569033
primary_concept_knife_handle,-0.2309162649556449
primary_concept_head_of_spoon,-0.2095765291902758
color_silver,-0.2038711975129152
primary_concept_handle_of_spoon,-0.19056382080448386
shape_rectangle,-0.15803676217542034
primary_concept_bottom-left_of_background,-0.14172288904132288
color_bollywood,-0.12163178496491095
color_gold,-0.11614483783342422
primary_concept_spoon,-0.10516372440124544
primary_concept_handle_of_knife,-0.1028284411334966
primary_concept_head_of_knife,-0.07035680960954455
color_red,-0.05970718859348201
shape_semicircle,-0.03886125181188593
color_violet,-0.03886125181188482
primary_concept_knife,-0.02474002472313691
shape_triangle,-0.019266322309532236
primary_concept_background,-0.013380601881137155
