treatment,score
color_lightbronze,0.6886852647881391
color_black,0.5271770094804784
primary_concept_middle_of_background,0.4245973775537587
primary_concept_knife,0.2626882111495763
primary_concept_butter_knife,0.24688419708400214
primary_concept_texture_of_background,0.20284649376546102
primary_concept_light_reflections_of_background,0.202846493765461
color_brown,0.10425890267257873
color_golden,0.0689796347881389
color_gold,0.06356507527089725
primary_concept_guitar_keychain,0.06348433410152604
primary_concept_teaspoon,0.04999258651233032
shape_cylindrical,0.042020554878921174
primary_concept_fish_knife,0.04170808814957605
shape_teaspoon,0.02222394225347718
primary_concept_background,0.017594854502779367
shape_square,0.003614509715384323
primary_concept_middle_of_the_handle_of_spatula,-0.36364938244624023
primary_concept_bottom_of_spatula,-0.3474451807296558
color_blue,-0.29818020783255117
color_yellow,-0.2880519439263966
color_green,-0.27156374083255075
primary_concept_handle_of_spatula,-0.22415436452201143
primary_concept_handle_of_spoon,-0.19707168994755572
primary_concept_spatula,-0.19182977590761874
shape_spatula,-0.17899759896794898
shape_oval,-0.16878469079213945
primary_concept_head_of_teaspoon,-0.16454572727183026
shape_rectangle,-0.16243925206358256
color_grey,-0.16215182456815788
primary_concept_light_reflections_of_spoon,-0.13172403185042333
primary_concept_head_of_spoon,-0.1269555446225555
shape_triangular,-0.1251194011177059
color_red,-0.1229948338325514
primary_concept_handle_of_fork,-0.10661185398157147
primary_concept_tail_of_teaspoon,-0.10200642811536456
shape_rectangular,-0.09165339939814805
primary_concept_tablespoon,-0.07970238185042394
shape_round,-0.07573145461076887
primary_concept_fork,-0.056386227588128515
color_bronze,-0.05551043012910367
color_aquamarine,-0.05389136667496734
primary_concept_spoon,-0.05332975693348979
shape_long,-0.04919407138461497
color_silver,-0.037398832125440984
