treatment,score
primary_concept_middle_of_the_handle_of_spatula,0.7443870791247675
primary_concept_bottom_of_spatula,0.7337752022820759
primary_concept_handle_of_spatula,0.5612186229824038
primary_concept_spatula,0.511323261637853
primary_concept_guitar_keychain,0.49805297465840354
color_gold,0.3872730261335068
color_blue,0.3792051859955747
shape_rectangle,0.3111107829247391
color_silver,0.28335978985460747
shape_spatula,0.2762126251717931
shape_triangular,0.18712980844946814
primary_concept_fish_knife,0.16844784633449172
shape_long,0.1470305150769225
primary_concept_background,0.14440822445224705
color_grey,0.12795754973137258
shape_rectangular,0.08063403720615347
color_red,0.07196095599557517
color_golden,0.065277660823162
color_brown,0.05740659182627966
shape_oval,0.053989167095391866
primary_concept_handle_of_fork,0.02282466395744226
primary_concept_tablespoon,0.013648376334490953
primary_concept_middle_of_background,0.0017259391247697042
color_black,-0.5161818161552941
primary_concept_handle_of_spoon,-0.3900743957187857
primary_concept_head_of_teaspoon,-0.38495643745107827
primary_concept_teaspoon,-0.3794109829717435
primary_concept_knife,-0.33285873866550814
primary_concept_tail_of_teaspoon,-0.28764188977824023
primary_concept_light_reflections_of_spoon,-0.2522201436655089
shape_round,-0.21723930263076802
color_lightbronze,-0.21184475051017138
primary_concept_spoon,-0.20347288057673094
shape_square,-0.16278048975641016
primary_concept_head_of_spoon,-0.1519939473048536
color_aquamarine,-0.15196507553022431
shape_teaspoon,-0.1400535646440868
primary_concept_fork,-0.10159562063272187
primary_concept_butter_knife,-0.10034368215731165
color_green,-0.0967014010813464
color_yellow,-0.09479394080698739
primary_concept_light_reflections_of_background,-0.07363919329493779
primary_concept_texture_of_background,-0.07363919329493751
color_bronze,-0.07353521086649345
shape_cylindrical,-0.03155002729958423
