treatment,score
primary_concept_bottom_of_fork,0.6598339262480838
primary_concept_bottom_of_background,0.43039419623980485
primary_concept_butter_knife,0.37550313493944987
color_steel,0.3728972573027579
primary_concept_tablespoon,0.2576548303919166
color_beige,0.25690291203859805
primary_concept_middle_of_spatula,0.25195333446084295
primary_concept_handle_of_spoon,0.22668167734612443
shape_oval,0.2250089713688899
shape_square,0.21943256428333896
primary_concept_knife,0.1881326248697602
color_aquamarine,0.16442677484934895
shape_round,0.1644267748493484
primary_concept_spatula,0.16037512858787725
color_khaki,0.15429859638178808
primary_concept_middle_of_knife,0.1519317823919166
color_white,0.14404188936997186
primary_concept_top_of_spatula,0.13926001339191693
primary_concept_head_of_spoon,0.11596767549549844
shape_cylinder,0.11275198903242643
primary_concept_head_of_fork,0.08666124918084932
primary_concept_handle_of_fork,0.08666124918084894
shape_rectangular,0.0832266599670548
primary_concept_spoon,0.07577976091136386
primary_concept_background,0.07515541427489215
color_cyan,0.06850700846890932
shape_long,0.06850700846890932
primary_concept_background_of_knife,0.03564080026069057
shape_line,0.014665500767415449
primary_concept_head_of_spatula,0.014350912084212256
color_yellow,0.011208647051099488
shape_parallelogram,0.011130115630045623
primary_concept_top_of_spoon,-0.4831425796041737
primary_concept_copyright_of_spoon,-0.19241975872630235
color_silver,-0.1830796611456788
color_goldenrod,-0.16940600605607672
color_black,-0.1581712274060355
color_golden,-0.14268360226502844
color_red,-0.13907858177847818
color_blue,-0.111849543730929
color_olive,-0.11027516747847818
primary_concept_tail_of_spatula,-0.09774511404328338
primary_concept_head_of_knife,-0.09271626950001888
shape_flat,-0.08370949009675721
primary_concept_label,-0.07818180683495338
primary_concept_top_of_knife,-0.07685474247120175
primary_concept_middle_of_background,-0.07636817536645357
primary_concept_border_of_spoon,-0.07523815587148346
primary_concept_fork,-0.07505270184411916
color_darkviolet,-0.06206588779870404
color_green,-0.058089704390445585
primary_concept_bottom_of_knife,-0.056489213580113704
color_bollywood,-0.040040662471440926
color_darkgoldenrod,-0.03910181474144124
primary_concept_bottom_of_spatula,-0.03495674172596641
primary_concept_shadow,-0.034844089533565305
color_grey,-0.031956528002145324
primary_concept_backgroud,-0.031084991941753647
shape_rectangle,-0.02059286430860152
color_cornstalk,-0.020592864308601383
color_brown,-0.018212162991441544
shape_spatula,-0.011277194382774414
primary_concept_background_of_photo,-0.010668314555070252
shape_linear,-0.006530338362439395
primary_concept_left_of_background,-0.003958051834953097
