treatment,score
primary_concept_copyright_of_petri_dish,0.9706407875672671
primary_concept_bottom_right_of_grass,0.9645036020417479
primary_concept_side_of_leaf,0.8834922626177615
primary_concept_bottom_of_petri_dish,0.7555191917802102
color_plum,0.7490956431848439
primary_concept_infested_trash_can,0.7139500754063082
primary_concept_petri_dish,0.6859364267887847
primary_concept_handle_of_keyboard,0.6820632131579358
primary_concept_ant,0.6759728070049607
primary_concept_wood,0.6639826305142067
primary_concept_top_left_of_can,0.6542725518738322
primary_concept_sweater,0.6348367960245926
primary_concept_gravel_road,0.6348367960245925
primary_concept_side_of_plant,0.5291976174993601
primary_concept_cup,0.4174022796000393
primary_concept_leaf,0.34401687660143043
color_bisque,0.34368574909611477
shape_splotches,0.34138988985851565
color_maroon,0.3285994990961158
color_gray,0.3285994990961157
shape_opening_of_the_can,0.2754492643454063
shape_oval,0.2549200878989684
shape_leaf_blade,0.24230060421957178
color_skin,0.20763712212016489
color_brown,0.1819787559924343
primary_concept_insect,0.16448940915219812
color_aquamarine,0.15649707240704913
color_diagram,0.15197125853259674
shape_square,0.11143309728623901
shape_round,0.10386183950924138
color_grey,0.09623238635819858
color_azure,0.079285262248662
primary_concept_leaves_of_tree,0.018574770734221036
primary_concept_branches_of_tree,0.018574770734220758
shape_long,0.011506687986672759
primary_concept_mantis,0.011226754401749195
primary_concept_inside_of_basket,-0.936024705916241
color_orange,-0.47594660038715575
primary_concept_background_of_photo,-0.4608792419262253
primary_concept_hive,-0.45895290660721044
primary_concept_fingers,-0.44948385898352716
primary_concept_ground,-0.43923288005721084
primary_concept_string_of_tree,-0.37896905642170786
primary_concept_label,-0.3725616315212312
primary_concept_middle_of_shoe,-0.37157167448170547
color_green,-0.3511335003701376
primary_concept_locust,-0.2865403778753692
primary_concept_water_bottle,-0.28608772795390003
primary_concept_backpack,-0.28605907789756513
primary_concept_bottom_of_glass_jar,-0.2856124856753694
primary_concept_middle_of_insect,-0.2855587384825582
primary_concept_basket,-0.2768195777838823
primary_concept_window_shades,-0.26912832667536846
primary_concept_top_of_prunes,-0.26696177434351465
primary_concept_ant_statue,-0.261220731409806
primary_concept_top_of_drinking_fountain,-0.25943857440980755
color_yellow,-0.24538715363454683
color_darkgoldenrod,-0.23116337223542627
primary_concept_praying_mantis,-0.2215603331597893
primary_concept_tree,-0.22156033315978776
primary_concept_wire,-0.20379339821978898
color_red,-0.1781107975737726
color_blue,-0.1763827963545188
color_transplant,-0.1480826012163848
color_lightgray,-0.14806777158738485
primary_concept_background,-0.14257379174509385
primary_concept_handlebar_of_bicycle,-0.13868929821979012
primary_concept_wheel_of_bicycle,-0.13868929821978734
shape_rectangle,-0.1385365429330879
shape_circus,-0.1169842238507158
color_cornstalk,-0.11451655009779052
color_silver,-0.11402139550267881
primary_concept_bee,-0.10372424547528061
primary_concept_cups,-0.09827212596298801
primary_concept_house_windows,-0.09807987514698982
primary_concept_head_of_locust,-0.0977249914069887
primary_concept_top_of_can,-0.09636826020606987
primary_concept_legs_of_mantis,-0.091964676767331
primary_concept_middle_of_flip_flop,-0.09068249320698832
color_white,-0.08299229788717188
primary_concept_head_of_bee,-0.07975640620698682
shape_crescent,-0.07308138281432563
color_black,-0.06559349169226134
primary_concept_bicycle_bidon,-0.05198737020698793
shape_circle,-0.04628532828673068
primary_concept_bell_of_bicycle,-0.015208840206987873
primary_concept_head_and_torso_of_mantis,-0.0007147628327321964
