treatment,score
primary_concept_string_of_tree,1.0399177958260486
primary_concept_inside_of_basket,1.0330962723783133
color_skin,0.7525723756282907
primary_concept_background_of_photo,0.6757221551849053
primary_concept_middle_of_insect,0.6230321189917423
primary_concept_locust,0.6091914364357118
primary_concept_ant_statue,0.5977635219443056
primary_concept_window_shades,0.5976891864357126
primary_concept_basket,0.5945419037998199
primary_concept_top_of_prunes,0.5917715760352082
color_green,0.5131674911989527
primary_concept_cups,0.4881550647432444
primary_concept_house_windows,0.48074802474324696
primary_concept_head_of_locust,0.47665447474324785
primary_concept_praying_mantis,0.45041037075895235
primary_concept_tree,0.45041037075895196
primary_concept_wire,0.43481457075895336
primary_concept_bell_of_bicycle,0.37803936474324534
primary_concept_handlebar_of_bicycle,0.34770171075895306
primary_concept_wheel_of_bicycle,0.3477017107589505
primary_concept_legs_of_mantis,0.33361772871741047
primary_concept_fingers,0.3071261005736215
shape_circus,0.2502820501023882
color_cornstalk,0.2122929625890781
color_yellow,0.2044183826518085
color_darkgoldenrod,0.19939382271642858
color_black,0.1976608327965314
shape_crescent,0.19046377602001507
primary_concept_mantis,0.17183123487839014
color_blue,0.1601961638219972
primary_concept_insect,0.15888657395672573
color_orange,0.1277824027418521
color_white,0.12529629079743798
color_silver,0.10872403832615102
primary_concept_middle_of_shoe,0.09409422382604743
shape_square,0.07532296817015122
shape_long,0.06461416446863588
primary_concept_head_and_torso_of_mantis,0.060221054496601534
primary_concept_label,0.047208557049791766
shape_rectangle,0.04187573874786221
primary_concept_branches_of_tree,0.03741441526423167
primary_concept_leaves_of_tree,0.03741441526423017
shape_round,0.002097086810310289
primary_concept_copyright_of_petri_dish,-0.7902075950033991
primary_concept_bottom_right_of_grass,-0.7850574751216122
primary_concept_bottom_of_petri_dish,-0.5407034787410494
primary_concept_top_of_can,-0.5046182520454333
primary_concept_side_of_leaf,-0.5012825300223674
primary_concept_bee,-0.501046950997514
primary_concept_bicycle_bidon,-0.4841212582567547
primary_concept_infested_trash_can,-0.48239422057590536
primary_concept_head_of_bee,-0.4782234792567569
color_grey,-0.47654868781601234
primary_concept_middle_of_flip_flop,-0.46507554725675615
color_plum,-0.4637414922169589
primary_concept_ant,-0.39188716076218916
primary_concept_petri_dish,-0.3874459513651192
primary_concept_bottom_of_glass_jar,-0.3787748905642866
primary_concept_handle_of_keyboard,-0.35725827068629457
primary_concept_top_left_of_can,-0.3486164453059967
primary_concept_cup,-0.34745785003361507
primary_concept_water_bottle,-0.34585241143362044
primary_concept_backpack,-0.3387535683030478
primary_concept_top_of_drinking_fountain,-0.33862743805569295
primary_concept_wood,-0.33348331558616295
primary_concept_gravel_road,-0.3273731817811891
primary_concept_sweater,-0.32737318178118857
shape_leaf_blade,-0.2604762595665955
primary_concept_side_of_plant,-0.23991312088565983
color_brown,-0.2144730516876443
shape_circle,-0.21087246170126503
shape_oval,-0.20898948588811034
shape_splotches,-0.19629611231272362
color_transplant,-0.1790175520227227
color_lightgray,-0.17534310165772263
color_bisque,-0.17261515265772304
color_maroon,-0.16945247065772343
color_gray,-0.16945247065772306
shape_opening_of_the_can,-0.16531328995742336
color_diagram,-0.1493082279516705
primary_concept_ground,-0.1276013905434082
color_aquamarine,-0.11992559000401937
primary_concept_leaf,-0.10826643989154888
primary_concept_background,-0.08691992662555859
primary_concept_hive,-0.05101798554341025
color_azure,-0.0463630492376661
color_red,-0.027079730752471887
