treatment,score
primary_concept_middle_of_fork,0.7744022781415905
primary_concept_edge_of_knife,0.75269748397559
primary_concept_top-left_of_knife,0.7077560622464203
primary_concept_top_of_fork,0.67299484021457
primary_concept_knife,0.5351496058379795
primary_concept_fork,0.511633375435436
color_gold,0.38749966655162527
color_grey,0.3585418074442194
primary_concept_textura/line_of_background,0.2753365126657404
primary_concept_textures_of_background,0.27468073566573825
primary_concept_light_gradient_of_background,0.2746807356657381
color_purple,0.273828364807467
primary_concept_bulb,0.2732658520456098
color_blue,0.2712658303206884
color_aqua,0.26952896052068787
color_silver,0.26630060987484355
color_azure,0.257944993922932
primary_concept_middle_of_background,0.2544272976453797
color_black,0.24338118149774787
color_white,0.22663785942587739
shape_edge,0.20483534113334023
color_steel,0.2048353411333401
shape_scalene triangle,0.172425764583579
shape_long,0.15384938586943073
shape_middle part,0.14304317568989233
shape_rectangle,0.13830465398115777
color_gray,0.11428916932900957
shape_knife,0.11428916932900934
primary_concept_background,0.0770902045997362
shape_square,0.04178990140625033
color_red,0.01948652366661402
shape_spatula-shaped,0.01055931417855488
shape_handle,0.003167449148099244
color_bollywood,-0.6943267942722526
color_plum,-0.6907334551022521
color_olive,-0.6821048375022503
color_green,-0.4833306604214569
primary_concept_top_of_spatula,-0.4423947012867958
primary_concept_spoon,-0.41228431623075573
primary_concept_light_reflection_of_spoon,-0.39918176093674196
primary_concept_teaspoon,-0.39687682680195435
primary_concept_wire,-0.37023021533325484
primary_concept_handle_of_spatula,-0.3513136788607762
primary_concept_spatula,-0.3454346805904311
primary_concept_string,-0.33866420133325514
primary_concept_head_of_spatula,-0.3199811687298862
color_yellow,-0.2438456844377617
shape_flat,-0.22303802862745614
primary_concept_spoon_light_reflection_of_spoon,-0.22233711947129736
primary_concept_pasta_server,-0.11358453019539069
shape_spoon,-0.04154551732419112
shape_bowl and neck,-0.005172728647838382
