treatment,score
color_plum,0.8070577484819201
color_olive,0.7983886884819185
primary_concept_spoon,0.6449189241546891
primary_concept_wire,0.6393674206617164
primary_concept_teaspoon,0.6363600993792946
primary_concept_light_reflection_of_spoon,0.6286516077718869
primary_concept_string,0.5951315906617161
primary_concept_spoon_light_reflection_of_spoon,0.5262908397178714
color_yellow,0.39957773570340716
color_green,0.2694404962279599
primary_concept_textures_of_background,0.2689354517211099
primary_concept_light_gradient_of_background,0.26893545172110983
primary_concept_textura/line_of_background,0.2675640717211087
shape_flat,0.21232858457934584
shape_middle part,0.04250047476092789
shape_spoon,0.04225893481456372
shape_square,0.01893637541458265
shape_bowl and neck,0.006575938055555175
shape_spatula-shaped,0.00548129280546128
color_white,0.005350536307942522
primary_concept_middle_of_background,-0.7056096697192675
primary_concept_pasta_server,-0.4350992563922703
primary_concept_middle_of_fork,-0.4350845108127921
primary_concept_edge_of_knife,-0.42734142102886596
primary_concept_top-left_of_knife,-0.3978190602562007
primary_concept_top_of_fork,-0.3771257848433407
primary_concept_head_of_spatula,-0.3460061233925212
primary_concept_handle_of_spatula,-0.345517536556131
primary_concept_spatula,-0.3448010203367956
primary_concept_knife,-0.31967441763256427
primary_concept_fork,-0.2844019529785424
primary_concept_top_of_spatula,-0.2539346558634704
shape_rectangle,-0.2451840133888497
color_grey,-0.2405810286486215
color_gold,-0.23716636301397268
color_red,-0.21008009842885594
color_bollywood,-0.1855461738404816
color_azure,-0.17016031874503373
color_purple,-0.15978779926568887
color_black,-0.12917854651808092
shape_scalene triangle,-0.12602118783861294
color_blue,-0.12187298007156505
color_aqua,-0.12001052007156304
color_steel,-0.11629456404519206
shape_edge,-0.11629456404519178
color_silver,-0.11026758041448376
shape_handle,-0.06709463843789243
color_gray,-0.06077485454547982
shape_knife,-0.060774854545479096
shape_long,-0.0488762241209863
primary_concept_background,-0.005141405704312485
primary_concept_bulb,-0.0020543422225368646
