treatment,score
primary_concept_background_of_knife,0.585489264775574
primary_concept_butter_knife,0.5539679802538333
primary_concept_head_of_knife,0.4895658577493076
primary_concept_bottom_of_knife,0.48739833703148994
color_palegoldenrod,0.3989134990742723
shape_square,0.3761957732030195
color_lightbronze,0.28896732717378726
color_darkgray,0.2608227835897133
color_grey,0.22640663281520762
shape_rectangle with curved edges,0.2153157348442376
primary_concept_knife,0.21265867861015297
shape_rectangle,0.19552552649257648
primary_concept_background_of_fork,0.16033248523572244
primary_concept_middle_of_background,0.12492522710860869
shape_rectangular,0.11405211860211055
color_blue,0.0820769222761772
color_black,0.07316975277308019
color_maroon,0.05613681075303284
shape_spoon and long,0.029015235505850334
primary_concept_top_of_fork,0.013848192520502789
shape_long,-0.5715892708554049
color_olive,-0.37896691744019945
primary_concept_textures_of_spatula,-0.347151806893285
primary_concept_bottom-right-corner_of_spatial,-0.1942533510180509
primary_concept_top_of_scraper,-0.19363100121805094
primary_concept_tail_of_fork,-0.18848054828258304
shape_line,-0.1815492228174901
primary_concept_middle_of_knif,-0.16940921765634803
color_yellow,-0.15394089473083666
color_red,-0.13296553500096517
color_green,-0.1297550272995726
color_brown,-0.12309932125810438
primary_concept_handle_of_knife,-0.11678306976842903
primary_concept_head_of_teaspoon,-0.11320927189143347
primary_concept_light_reflections_of_fork,-0.10620670071570618
primary_concept_background,-0.09874357199824824
primary_concept_bottom_of_scraper,-0.0917544900795772
primary_concept_bottom_of_utensil,-0.08923024940789903
primary_concept_teaspoon,-0.08907435627957774
primary_concept_head_of_fork,-0.08808073457074184
primary_concept_spoon,-0.08795543306059618
color_white,-0.08182299417531103
shape_fork,-0.0765482807901876
shape_straight,-0.07567366907427087
shape_curve,-0.06645287306752168
shape_linear,-0.064290208292047
color_beige,-0.06091776552621324
color_aqua,-0.05905355882621305
primary_concept_metal_drainer/spatula,-0.05491595307957754
color_golden,-0.036976684358591264
shape_ellipse,-0.03686799792240507
primary_concept_fork,-0.03675959505596593
color_gold,-0.03660420051575787
shape_fork shape,-0.029368568044377347
color_silver,-0.020796879686485498
color_gray,-0.012872464470354492
shape_spoon,-0.012872464470354353
color_bronze,-0.012483532607905148
shape_flower floral,-0.012483532607904746
primary_concept_texture/line_of_background,-0.008317934090155354
primary_concept_light_gradients_of_background,-0.008317934090155146
primary_concept_texture_of_spatula,-0.007599205579224139
primary_concept_light_gradient_of_background,-0.007569959790155248
primary_concept_handle_of_fork,-0.007383157508353652
primary_concept_spatula,-0.007255078423064512
