treatment,score
primary_concept_light_reflections_of_fork,0.4649595331951106
color_red,0.4381377822717877
primary_concept_bottom-right-corner_of_spatial,0.4049241657086964
primary_concept_top_of_scraper,0.3996994557086972
primary_concept_tail_of_fork,0.3911563153403757
primary_concept_bottom_of_scraper,0.38571633682251855
primary_concept_metal_drainer/spatula,0.3415837468225188
color_green,0.33132620225483883
primary_concept_bottom_of_utensil,0.2614379474135971
primary_concept_top_of_fork,0.24877134129465667
color_white,0.2472614155803236
primary_concept_light_gradient_of_background,0.21599934070509946
color_silver,0.20694374723735937
shape_straight,0.14209416962753535
primary_concept_handle_of_fork,0.13929131068605932
color_black,0.1390929822474668
color_blue,0.13774671856352572
primary_concept_textures_of_spatula,0.13301352900106556
primary_concept_middle_of_background,0.10878886833371154
shape_ellipse,0.10545879217896958
primary_concept_middle_of_knif,0.10401570597293891
shape_line,0.09803318009397405
color_palegoldenrod,0.08968224137646036
primary_concept_texture_of_spatula,0.08097233373462903
color_gold,0.0713718048567929
color_golden,0.07128213071246525
primary_concept_fork,0.06852765428199581
color_olive,0.06273634706863646
shape_curve,0.05152902519480118
primary_concept_spatula,0.04631797841474339
shape_linear,0.0307608867825222
shape_flower floral,0.025607297082165748
color_bronze,0.025607297082164804
color_gray,0.021757428269611856
shape_spoon,0.021757428269611745
shape_rectangular,-0.614590007293353
primary_concept_spoon,-0.575438318882405
shape_long,-0.544115555714865
primary_concept_background_of_fork,-0.5405528250895792
primary_concept_head_of_fork,-0.5116632624014081
primary_concept_handle_of_knife,-0.44361601155253594
primary_concept_knife,-0.44064294182831126
primary_concept_butter_knife,-0.4382117850883168
color_yellow,-0.42728858922359325
color_grey,-0.4240694616286753
primary_concept_teaspoon,-0.3931690731774817
primary_concept_background_of_knife,-0.37101270422965693
primary_concept_bottom_of_knife,-0.29218852101898685
primary_concept_head_of_knife,-0.29168630044036137
shape_square,-0.2728381375467841
primary_concept_texture/line_of_background,-0.24892541929490014
primary_concept_light_gradients_of_background,-0.24892541929489947
color_beige,-0.23140422861822102
color_lightbronze,-0.22858521211822064
shape_fork shape,-0.18358414428150976
shape_rectangle with curved edges,-0.13553961085566946
color_darkgray,-0.10893933874516326
shape_spoon and long,-0.10287426557652857
shape_rectangle,-0.09442847713676655
shape_fork,-0.05187655519235351
color_brown,-0.04836661772524964
color_maroon,-0.04237554839268659
primary_concept_background,-0.016032769845587935
primary_concept_head_of_teaspoon,-0.006045464409761447
color_aqua,-0.0031535066182219462
